"","entity","case","n_miss","pct_miss"
"1","Italy",1,1,3.7037037037037
"2","Spain",1,1,3.7037037037037
"3","Estonia",1,2,7.40740740740741
"4","Hungary",1,2,7.40740740740741
"5","Iceland",1,2,7.40740740740741
"6","Israel",1,2,7.40740740740741
"7","Latvia",1,2,7.40740740740741
"8","Lithuania",1,2,7.40740740740741
"9","Netherlands",1,2,7.40740740740741
"10","New Zealand",1,2,7.40740740740741
"11","Poland",1,2,7.40740740740741
"12","United States",1,2,7.40740740740741
"13","Belgium",1,3,11.1111111111111
"14","Canada",1,3,11.1111111111111
"15","Chile",1,3,11.1111111111111
"16","Finland",1,3,11.1111111111111
"17","Czech Republic",1,3,11.1111111111111
"18","Australia",1,4,14.8148148148148
"19","Austria",1,4,14.8148148148148
"20","Germany",1,4,14.8148148148148
"21","Greece",1,4,14.8148148148148
"22","Portugal",1,4,14.8148148148148
"23","France",1,5,18.5185185185185
"24","Luxembourg",1,5,18.5185185185185
"25","Denmark",1,6,22.2222222222222
"26","Ireland",1,6,22.2222222222222
"27","Slovenia",1,6,22.2222222222222
"28","Turkey",1,6,22.2222222222222
"29","Mexico",1,8,29.6296296296296
"30","Norway",1,8,29.6296296296296
"31","Sweden",1,9,33.3333333333333
"32","Japan",1,11,40.7407407407407
"33","United Kingdom",1,11,40.7407407407407
"34","Switzerland",1,12,44.4444444444444
"35","Slovakia",1,14,51.8518518518518
"36","Brazil",1,18,66.6666666666667
"37","China",1,18,66.6666666666667
"38","Colombia",1,18,66.6666666666667
"39","Costa Rica",1,18,66.6666666666667
"40","India",1,18,66.6666666666667
"41","Indonesia",1,18,66.6666666666667
"42","South Africa",1,18,66.6666666666667
"43","Albania",1,19,70.3703703703704
"44","Algeria",1,19,70.3703703703704
"45","Angola",1,19,70.3703703703704
"46","Argentina",1,19,70.3703703703704
"47","Armenia",1,19,70.3703703703704
"48","Azerbaijan",1,19,70.3703703703704
"49","Bangladesh",1,19,70.3703703703704
"50","Barbados",1,19,70.3703703703704
"51","Belarus",1,19,70.3703703703704
"52","Belize",1,19,70.3703703703704
"53","Benin",1,19,70.3703703703704
"54","Bolivia",1,19,70.3703703703704
"55","Bosnia and Herzegovina",1,19,70.3703703703704
"56","Burkina Faso",1,19,70.3703703703704
"57","Burundi",1,19,70.3703703703704
"58","Cameroon",1,19,70.3703703703704
"59","Central African Republic",1,19,70.3703703703704
"60","Cote d'Ivoire",1,19,70.3703703703704
"61","Croatia",1,19,70.3703703703704
"62","Democratic Republic of Congo",1,19,70.3703703703704
"63","Djibouti",1,19,70.3703703703704
"64","Dominican Republic",1,19,70.3703703703704
"65","Ecuador",1,19,70.3703703703704
"66","Egypt",1,19,70.3703703703704
"67","El Salvador",1,19,70.3703703703704
"68","Fiji",1,19,70.3703703703704
"69","Gabon",1,19,70.3703703703704
"70","Gambia",1,19,70.3703703703704
"71","Georgia",1,19,70.3703703703704
"72","Ghana",1,19,70.3703703703704
"73","Guatemala",1,19,70.3703703703704
"74","Guinea",1,19,70.3703703703704
"75","Guinea-Bissau",1,19,70.3703703703704
"76","Guyana",1,19,70.3703703703704
"77","Haiti",1,19,70.3703703703704
"78","Honduras",1,19,70.3703703703704
"79","Iran",1,19,70.3703703703704
"80","Jamaica",1,19,70.3703703703704
"81","Jordan",1,19,70.3703703703704
"82","Kazakhstan",1,19,70.3703703703704
"83","Kenya",1,19,70.3703703703704
"84","Kyrgyzstan",1,19,70.3703703703704
"85","Lebanon",1,19,70.3703703703704
"86","Lesotho",1,19,70.3703703703704
"87","Madagascar",1,19,70.3703703703704
"88","Malaysia",1,19,70.3703703703704
"89","Maldives",1,19,70.3703703703704
"90","Mali",1,19,70.3703703703704
"91","Malta",1,19,70.3703703703704
"92","Mauritania",1,19,70.3703703703704
"93","Mauritius",1,19,70.3703703703704
"94","Moldova",1,19,70.3703703703704
"95","Montenegro",1,19,70.3703703703704
"96","Morocco",1,19,70.3703703703704
"97","Namibia",1,19,70.3703703703704
"98","Nepal",1,19,70.3703703703704
"99","Nicaragua",1,19,70.3703703703704
"100","Niger",1,19,70.3703703703704
"101","Nigeria",1,19,70.3703703703704
"102","Oman",1,19,70.3703703703704
"103","Pakistan",1,19,70.3703703703704
"104","Panama",1,19,70.3703703703704
"105","Paraguay",1,19,70.3703703703704
"106","Peru",1,19,70.3703703703704
"107","Philippines",1,19,70.3703703703704
"108","Russia",1,19,70.3703703703704
"109","Rwanda",1,19,70.3703703703704
"110","Senegal",1,19,70.3703703703704
"111","Serbia",1,19,70.3703703703704
"112","Sierra Leone",1,19,70.3703703703704
"113","Sri Lanka",1,19,70.3703703703704
"114","Sudan",1,19,70.3703703703704
"115","Tajikistan",1,19,70.3703703703704
"116","Tanzania",1,19,70.3703703703704
"117","Thailand",1,19,70.3703703703704
"118","Togo",1,19,70.3703703703704
"119","Tunisia",1,19,70.3703703703704
"120","Uganda",1,19,70.3703703703704
