"","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"1",39.277,1.79403458835,68970,22.4503710061833,183.9278576,32.5,0.6181,0.1643,3.6443,3.4479,1.1379,10.5583,14.4279,28.0699,0.6805,65.6941,1.8782,10.4638,4.8414,0.6457,0.1564,16.2753,0.6711,1.82056795454545,8.46,144.16689,1.6701e+11
"2",169.226,1.73850996735,29903,23.6,773.6782919,78.2,0.4685,0.1173,2.8747,2.8634,1.0811,7.2822,14.8104,24.7471,0.5024,58.0284,1.4434,9.3166,4.7307,0.5298,0.125,14.4594,0.6276,2.9482,9.83,440.42001,2.01e+09
"3",44.035,1.74176787975,34790,85.2,1031.16964,63.7,0.5929,0.1298,2.7553,2.7876,1.0979,8.8937,15.5172,26.2457,0.4881,59.7044,1.6643,10.7017,4.5031,0.5062,0.1244,15.5872,0.5808,2.37930795454545,11.34,289.74506,3e+08
"4",931.858,1.81457731843,24542.8598340622,94.6601788359788,5948.635486,94.6,0.7185,0.9343,2.4382,3.2505,1.157,9.9081,14.2609,27.5518,0.2677,82.0302,5.7385,20.3457,5.1906,0.7052,0.2495,14.4638,0.6777,3.40091,11.33,2164.9558,9966537446.67896
"5",8.215,1.79461501481,93709,0,195.5144172,40.7,0.656,0.1705,3.6167,3.5484,1.1516,9.68670000000001,15.4183,28.343,0.7906,68.2978,2.3119,10.7288,4.907,0.6941,0.1605,15.8364,0.6723,2.58156795454545,8.34,65.277954,4.999e+10
"6",30.635,1.73465694551,33387.9295191793,51.1,1105.111025,66.7,0.6248,0.1196,2.819,2.8834,1.1017,9.1632,15.0341,26.9578,0.5469,59.9118,1.4731,9.3998,4.6021,0.5416,0.1127,15.6618,0.6071,2.21025795454545,9.83,268.01904,2.6e+08
"7",657.805,1.72736463193,26808,96.8,1389.840341,68.4,0.619,0.1607,2.5442,2.5143,1.071,10.0841,14.8783,27.0815,0.5284,60.6569,1.7377,8.8464,4.4245,0.4824,0.1238,12.447,0.592,2.22694295454546,9.48,245.00212,8.1e+08
"8",419.474,1.73980983378,35083,100,883.2206519,67.5,0.5203,0.1582,2.7998,2.6081,1.0725,9.7452,13.9293,26.3275,0.4615,65.0081,1.9285,10.223,4.7583,0.5222,0.1315,13.0004,0.6473,2.44301416666667,9.38,720.97192,5.41e+09
"9",35.49,1.71111087094,17696,100,4491.629858,89.8,0.72,0.56,2.55,3.093,0.69,22.45,38.77,55.89,0.3532,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,10.99,838.4942,9442528357.04797
"10",111.698,1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,1.1376,9.66,13.19,30.8,0.66,27.58,4.43,16.8485,5.205,0.61,0.19,16.71,1.03,7.37,10.6,920.96967,18910651908.9886
