"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_agree_vaccines_are_safe","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","share_of_people_who_disagree_vaccines_are_effective","share_of_people_who_agree_vaccines_are_important_for_children_to_have","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","health_expenditure_per_capita_ppp_world_bank_2016","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_aged_65_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","public_expenditure_on_health_percent_gdp_owid_extrapolated_series","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","bcg_immunization_coverage_among_1_year_olds_who_2017","hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017","dtp3_immunization_coverage_among_1_year_olds_who_2017","polio_pol3_immunization_coverage_among_1_year_olds_who_2017","measles_mcv_immunization_coverage_among_1_year_olds_who_2017","number_of_confirmed_tetanus_cases_who_2017","number_confirmed_polio_cases_who_2017","number_of_confirmed_pertussis_cases_who_2017","number_of_confirmed_measles_cases_who_2017","number_of_confirmed_diphtheria_cases_who_2017","estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017","estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017"
"share_of_people_who_disagree_vaccines_are_important_for_children_to_have",1,-0.67,0.54,-0.63,0.38,-0.79,-0.2,0.35,0.37,0.37,0.33,0.12,0.23,0.11,0.17,-0.15,-0.16,-0.19,-0.11,-0.14,-0.24,-0.43,0.24,-0.16,-0.02,0.16,0.37,-0.19,0.17,0.5,0.2,0.21,0.21,0.33,0.39,0.24,-0.05,-0.08,0.01,0.05,0.07,0.03,-0.1,-0.03,0.11,-0.04,-0.07,-0.15,-0.08
"share_of_people_who_agree_vaccines_are_safe",-0.67,1,-0.68,0.82,-0.25,0.84,0.29,-0.35,-0.28,-0.27,-0.39,0.06,-0.09,-0.28,-0.27,-0.14,0.37,0.19,0.17,-0.1,0.02,0.36,-0.12,0.08,-0.15,-0.35,-0.39,0.13,-0.26,-0.68,-0.27,-0.27,-0.22,-0.34,-0.31,-0.26,0.25,0.01,-0.06,-0.1,-0.13,-0.12,0.21,0.09,0.04,0.12,0.15,0.3,0.2
"share_of_people_who_disagree_vaccines_are_safe",0.54,-0.68,1,-0.42,0.55,-0.34,0.07,0.02,0.13,0.14,0.01,-0.05,0.17,0.03,0.04,0.04,-0.2,-0.22,-0.1,-0.12,-0.19,-0.18,0.22,0.02,0.09,0.1,0.31,-0.07,0.01,0.25,-0.08,-0.09,-0.1,0.08,0.07,0.18,-0.15,-0.13,-0.15,-0.12,-0.11,-0.15,-0.16,-0.09,-0.06,-0.11,-0.11,-0.02,-0.18
"share_of_people_who_agree_vaccines_are_effective",-0.63,0.82,-0.42,1,-0.47,0.82,0.19,-0.26,-0.07,-0.07,-0.25,0.02,0.02,-0.38,-0.31,-0.11,0.24,0.09,0.09,-0.2,-0.1,0.46,0.03,0.36,-0.01,-0.37,-0.18,0.05,-0.21,-0.58,-0.17,-0.17,-0.14,-0.21,-0.16,-0.11,0.15,-0.04,-0.04,-0.04,-0.07,-0.07,0.09,0.06,0.07,0.06,0.13,0.12,0.11
"share_of_people_who_disagree_vaccines_are_effective",0.38,-0.25,0.55,-0.47,1,-0.13,0.31,-0.21,-0.14,-0.13,-0.26,0.01,0.04,0.05,0.05,-0.08,0.05,0.01,0.1,-0.01,-0.05,-0.21,0.07,-0.25,-0.19,0.07,0,0.05,-0.13,-0.02,-0.29,-0.3,-0.27,-0.15,-0.17,0.01,0.16,-0.14,-0.32,-0.34,-0.34,-0.34,0.05,-0.02,-0.07,-0.04,-0.09,0.35,-0.01
"share_of_people_who_agree_vaccines_are_important_for_children_to_have",-0.79,0.84,-0.34,0.82,-0.13,1,0.33,-0.43,-0.34,-0.32,-0.44,-0.07,-0.11,-0.31,-0.34,0,0.23,0.06,0.05,-0.12,0,0.45,-0.11,0.2,-0.07,-0.38,-0.36,0.11,-0.31,-0.72,-0.32,-0.32,-0.29,-0.36,-0.4,-0.22,0.11,-0.02,-0.12,-0.15,-0.17,-0.15,0.12,0.02,-0.06,0.06,0.09,0.27,0.1
"all_causes_disability_adjusted_life_years_who_2015",-0.2,0.29,0.07,0.19,0.31,0.33,1,-0.69,-0.6,-0.58,-0.87,0.13,-0.18,0.15,0.17,0,0.3,0.39,0.4,0.21,0.25,0.12,-0.23,-0.21,-0.09,0.09,-0.4,0.43,-0.15,-0.39,-0.94,-0.94,-0.79,-0.7,-0.57,-0.37,0.33,-0.13,-0.46,-0.54,-0.57,-0.58,0.15,0.06,-0.11,0.07,0.05,0.68,0.13
"share_of_population_covered_by_health_insurance_ilo_2014",0.35,-0.35,0.02,-0.26,-0.21,-0.43,-0.69,1,0.59,0.58,0.77,-0.06,0.21,-0.1,-0.06,-0.04,-0.28,-0.31,-0.35,-0.2,-0.26,-0.17,0.25,0.13,0.08,0,0.4,-0.4,0.15,0.45,0.69,0.7,0.65,0.71,0.52,0.38,-0.27,-0.02,0.3,0.37,0.41,0.41,-0.21,-0.09,0.1,-0.04,-0.15,-0.51,-0.17
"current_health_expenditure_per_capita_ppp_current_international",0.37,-0.28,0.13,-0.07,-0.14,-0.34,-0.6,0.59,1,0.97,0.78,-0.04,0.61,-0.44,-0.17,-0.25,-0.2,-0.29,-0.24,-0.5,-0.56,-0.13,0.72,0.53,0.04,-0.03,0.69,-0.52,0.05,0.36,0.66,0.68,0.68,0.75,0.79,0.53,-0.03,-0.29,0.2,0.33,0.34,0.32,-0.16,-0.07,0.35,-0.13,-0.09,-0.41,-0.12
"health_expenditure_per_capita_ppp_world_bank_2016",0.37,-0.27,0.14,-0.07,-0.13,-0.32,-0.58,0.58,0.97,1,0.76,-0.03,0.62,-0.45,-0.17,-0.26,-0.18,-0.29,-0.24,-0.5,-0.57,-0.18,0.72,0.53,0.01,-0.03,0.66,-0.51,0.03,0.35,0.65,0.66,0.66,0.74,0.72,0.53,-0.02,-0.29,0.19,0.31,0.32,0.3,-0.15,-0.06,0.36,-0.12,-0.09,-0.4,-0.12
