"","total_confirmed_deaths_due_to_covid_19_per_million_people","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_agree_vaccines_are_safe","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","share_of_people_who_disagree_vaccines_are_effective","share_of_people_who_agree_vaccines_are_important_for_children_to_have","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","health_expenditure_per_capita_ppp_world_bank_2016","haq_index_ihme_2017","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","public_expenditure_on_health_percent_gdp_owid_extrapolated_series","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","bcg_immunization_coverage_among_1_year_olds_who_2017","hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017","dtp3_immunization_coverage_among_1_year_olds_who_2017","polio_pol3_immunization_coverage_among_1_year_olds_who_2017","measles_mcv_immunization_coverage_among_1_year_olds_who_2017","number_of_confirmed_tetanus_cases_who_2017","number_confirmed_polio_cases_who_2017","number_of_confirmed_pertussis_cases_who_2017","number_of_confirmed_measles_cases_who_2017","number_of_confirmed_diphtheria_cases_who_2017","estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017","estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017"
"total_confirmed_deaths_due_to_covid_19_per_million_people",1,0.16,-0.14,0.14,-0.17,0.14,-0.12,-0.37,0.27,0.39,0.36,0.36,0.41,0.42,0.34,0.37,0.25,-0.17,-0.01,0.05,0.11,0.1,0.11,-0.1,-0.05,0.1,-0.11,-0.06,-0.32,-0.08
"share_of_people_who_disagree_vaccines_are_important_for_children_to_have",0.16,1,-0.58,0.48,-0.61,0.43,-0.71,-0.2,0.24,0.31,0.29,0.3,0.23,0.23,0.18,0.33,0.13,-0.17,0.04,0.02,0.04,0.06,0.05,-0.11,-0.03,0.09,-0.06,-0.08,-0.16,-0.07
"share_of_people_who_agree_vaccines_are_safe",-0.14,-0.58,1,-0.62,0.74,-0.28,0.69,0.29,-0.34,-0.32,-0.28,-0.42,-0.32,-0.32,-0.27,-0.34,-0.29,0.27,-0.08,-0.13,-0.16,-0.19,-0.18,0.18,0.07,0,0.1,0.13,0.31,0.17
"share_of_people_who_disagree_vaccines_are_safe",0.14,0.48,-0.62,1,-0.38,0.5,-0.33,-0.04,0.15,0.21,0.21,0.17,0.09,0.09,0.08,0.17,0.11,-0.16,-0.07,-0.06,-0.02,-0.01,-0.04,-0.12,-0.06,0.01,-0.07,-0.08,-0.1,-0.13
"share_of_people_who_agree_vaccines_are_effective",-0.17,-0.61,0.74,-0.38,1,-0.45,0.76,0.23,-0.24,-0.14,-0.12,-0.32,-0.26,-0.26,-0.18,-0.25,-0.1,0.18,-0.03,-0.06,-0.07,-0.1,-0.13,0.08,0.04,0.04,0.05,0.12,0.19,0.09
"share_of_people_who_disagree_vaccines_are_effective",0.14,0.43,-0.28,0.5,-0.45,1,-0.18,0.15,-0.12,-0.03,-0.03,-0.11,-0.11,-0.11,-0.14,-0.05,-0.03,0.08,-0.14,-0.24,-0.24,-0.24,-0.22,0.05,-0.01,-0.02,-0.03,-0.07,0.22,0.01
"share_of_people_who_agree_vaccines_are_important_for_children_to_have",-0.12,-0.71,0.69,-0.33,0.76,-0.18,1,0.34,-0.3,-0.33,-0.3,-0.45,-0.35,-0.35,-0.29,-0.45,-0.18,0.2,-0.06,-0.14,-0.16,-0.19,-0.17,0.12,0.02,-0.04,0.06,0.09,0.24,0.09
"all_causes_disability_adjusted_life_years_who_2015",-0.37,-0.2,0.29,-0.04,0.23,0.15,0.34,1,-0.59,-0.6,-0.57,-0.85,-0.91,-0.91,-0.76,-0.57,-0.34,0.37,-0.22,-0.48,-0.54,-0.57,-0.58,0.14,0.06,-0.11,0.07,0.04,0.66,0.12
"share_of_population_covered_by_health_insurance_ilo_2014",0.27,0.24,-0.34,0.15,-0.24,-0.12,-0.3,-0.59,1,0.53,0.52,0.66,0.59,0.61,0.54,0.43,0.31,-0.29,-0.02,0.25,0.3,0.33,0.31,-0.19,-0.08,0.08,-0.03,-0.13,-0.42,-0.16
"current_health_expenditure_per_capita_ppp_current_international",0.39,0.31,-0.32,0.21,-0.14,-0.03,-0.33,-0.6,0.53,1,0.96,0.76,0.66,0.68,0.66,0.78,0.52,-0.16,-0.07,0.24,0.34,0.34,0.33,-0.16,-0.07,0.35,-0.13,-0.09,-0.42,-0.12
"health_expenditure_per_capita_ppp_world_bank_2016",0.36,0.29,-0.28,0.21,-0.12,-0.03,-0.3,-0.57,0.52,0.96,1,0.74,0.63,0.66,0.64,0.72,0.53,-0.16,-0.1,0.21,0.31,0.31,0.29,-0.16,-0.06,0.36,-0.12,-0.09,-0.4,-0.12
"haq_index_ihme_2017",0.36,0.3,-0.42,0.17,-0.32,-0.11,-0.45,-0.85,0.66,0.76,0.74,1,0.9,0.91,0.84,0.7,0.49,-0.31,0.1,0.4,0.48,0.5,0.52,-0.23,-0.11,0.16,-0.11,-0.14,-0.61,-0.17
"healthy_life_expectancy_ihme",0.41,0.23,-0.32,0.09,-0.26,-0.11,-0.35,-0.91,0.59,0.66,0.63,0.9,1,0.99,0.82,0.64,0.41,-0.34,0.18,0.45,0.52,0.54,0.56,-0.16,-0.08,0.13,-0.08,-0.11,-0.64,-0.12
"life_expectancy_ihme",0.42,0.23,-0.32,0.09,-0.26,-0.11,-0.35,-0.91,0.61,0.68,0.66,0.91,0.99,1,0.86,0.65,0.41,-0.32,0.16,0.44,0.51,0.53,0.55,-0.16,-0.07,0.14,-0.09,-0.1,-0.64,-0.11
"years_lived_with_disability_ihme",0.34,0.18,-0.27,0.08,-0.18,-0.14,-0.29,-0.76,0.54,0.66,0.64,0.84,0.82,0.86,1,0.6,0.35,-0.25,0.09,0.33,0.4,0.39,0.4,-0.11,-0.03,0.2,-0.13,-0.07,-0.54,-0.05
"out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",0.37,0.33,-0.34,0.17,-0.25,-0.05,-0.45,-0.57,0.43,0.78,0.72,0.7,0.64,0.65,0.6,1,0.32,-0.21,0.01,0.23,0.29,0.31,0.3,-0.14,-0.06,0.21,-0.1,-0.08,-0.44,-0.1
"public_expenditure_on_health_percent_gdp_owid_extrapolated_series",0.25,0.13,-0.29,0.11,-0.1,-0.03,-0.18,-0.34,0.31,0.52,0.53,0.49,0.41,0.41,0.35,0.32,1,-0.22,-0.02,0.16,0.24,0.22,0.24,-0.22,-0.11,0.12,-0.15,-0.14,-0.28,-0.17
"total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors",-0.17,-0.17,0.27,-0.16,0.18,0.08,0.2,0.37,-0.29,-0.16,-0.16,-0.31,-0.34,-0.32,-0.25,-0.21,-0.22,1,-0.27,-0.22,-0.22,-0.25,-0.25,0.36,0.17,0.25,0.33,0.27,0.48,0.49
"bcg_immunization_coverage_among_1_year_olds_who_2017",-0.01,0.04,-0.08,-0.07,-0.03,-0.14,-0.06,-0.22,-0.02,-0.07,-0.1,0.1,0.18,0.16,0.09,0.01,-0.02,-0.27,1,0.65,0.59,0.56,0.53,-0.06,-0.04,-0.11,-0.05,-0.08,-0.19,-0.07
"hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017",0.05,0.02,-0.13,-0.06,-0.06,-0.24,-0.14,-0.48,0.25,0.24,0.21,0.4,0.45,0.44,0.33,0.23,0.16,-0.22,0.65,1,0.96,0.92,0.86,-0.11,-0.1,0,-0.02,-0.05,-0.34,-0.08
"dtp3_immunization_coverage_among_1_year_olds_who_2017",0.11,0.04,-0.16,-0.02,-0.07,-0.24,-0.16,-0.54,0.3,0.34,0.31,0.48,0.52,0.51,0.4,0.29,0.24,-0.22,0.59,0.96,1,0.96,0.9,-0.13,-0.11,0.02,-0.03,-0.06,-0.39,-0.09
"polio_pol3_immunization_coverage_among_1_year_olds_who_2017",0.1,0.06,-0.19,-0.01,-0.1,-0.24,-0.19,-0.57,0.33,0.34,0.31,0.5,0.54,0.53,0.39,0.31,0.22,-0.25,0.56,0.92,0.96,1,0.9,-0.1,-0.12,0.02,-0.04,-0.06,-0.41,-0.1
"measles_mcv_immunization_coverage_among_1_year_olds_who_2017",0.11,0.05,-0.18,-0.04,-0.13,-0.22,-0.17,-0.58,0.31,0.33,0.29,0.52,0.56,0.55,0.4,0.3,0.24,-0.25,0.53,0.86,0.9,0.9,1,-0.12,-0.17,0.03,-0.05,-0.09,-0.45,-0.1
"number_of_confirmed_tetanus_cases_who_2017",-0.1,-0.11,0.18,-0.12,0.08,0.05,0.12,0.14,-0.19,-0.16,-0.16,-0.23,-0.16,-0.16,-0.11,-0.14,-0.22,0.36,-0.06,-0.11,-0.13,-0.1,-0.12,1,0.17,0.39,0.4,0.59,0.2,0.69
"number_confirmed_polio_cases_who_2017",-0.05,-0.03,0.07,-0.06,0.04,-0.01,0.02,0.06,-0.08,-0.07,-0.06,-0.11,-0.08,-0.07,-0.03,-0.06,-0.11,0.17,-0.04,-0.1,-0.11,-0.12,-0.17,0.17,1,-0.01,0.01,-0.01,0.08,0.11
"number_of_confirmed_pertussis_cases_who_2017",0.1,0.09,0,0.01,0.04,-0.02,-0.04,-0.11,0.08,0.35,0.36,0.16,0.13,0.14,0.2,0.21,0.12,0.25,-0.11,0,0.02,0.02,0.03,0.39,-0.01,1,0.34,0.45,-0.01,0.55
"number_of_confirmed_measles_cases_who_2017",-0.11,-0.06,0.1,-0.07,0.05,-0.03,0.06,0.07,-0.03,-0.13,-0.12,-0.11,-0.08,-0.09,-0.13,-0.1,-0.15,0.33,-0.05,-0.02,-0.03,-0.04,-0.05,0.4,0.01,0.34,1,0.35,0.15,0.52
"number_of_confirmed_diphtheria_cases_who_2017",-0.06,-0.08,0.13,-0.08,0.12,-0.07,0.09,0.04,-0.13,-0.09,-0.09,-0.14,-0.11,-0.1,-0.07,-0.08,-0.14,0.27,-0.08,-0.05,-0.06,-0.06,-0.09,0.59,-0.01,0.45,0.35,1,0.18,0.76
"estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017",-0.32,-0.16,0.31,-0.1,0.19,0.22,0.24,0.66,-0.42,-0.42,-0.4,-0.61,-0.64,-0.64,-0.54,-0.44,-0.28,0.48,-0.19,-0.34,-0.39,-0.41,-0.45,0.2,0.08,-0.01,0.15,0.18,1,0.29
"estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017",-0.08,-0.07,0.17,-0.13,0.09,0.01,0.09,0.12,-0.16,-0.12,-0.12,-0.17,-0.12,-0.11,-0.05,-0.1,-0.17,0.49,-0.07,-0.08,-0.09,-0.1,-0.1,0.69,0.11,0.55,0.52,0.76,0.29,1
