"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1",39.277,0.84726840349,2.20961282986,3.64976528369,75.0735869244,184.469916136,300.286980121,27.0247652229,68.9319165935,108.9611150969,4.4431714634,42.3903981,74.3150928,2981950.3389696,21467832.48425,34023206.743441,10761942,22974552,2.375
"2",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888,5.365
"3",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069,4.745
"4",931.858,0.955751310339999,2.59137660027,3.48111182467,87.5549893462,223.598127333,301.358798153,28.8388925575,73.4086570146,103.4939349476,7.379906915,37.243833014,50.33221573,1197756.56186537,4359789.19395127,4165134.730703,78014,0,6.31044
"5",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904,3.795
"6",30.635,0.8261449877,2.49045506304,3.53937916967,71.5248216495,211.13113549,297.01424957,27.4356317791,71.6261487348,108.9538788541,6.2535894622,38.770559514,57.41216413,965903.5846656,10788967.280903,21410411.636048,87487,8232,5.7834
"7",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040,5.901
"8",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280,5.488
"9",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0,7.137
"10",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0,7.213
