"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1","Afghanistan",39.277,2.375
"2","Albania",169.226,5.365
"3","Algeria",44.035,4.745
"4","Andorra",931.858,6.502
"5","Angola",8.215,3.795
"6","Antigua and Barbuda",30.635,4.443
"7","Argentina",657.805,5.901
"8","Armenia",419.474,5.488
"9","Australia",35.49,7.137
"10","Austria",111.698,7.213
"11","Azerbaijan",67.856,5.173
"12","Bahamas",335.666,4.947
"13","Bahrain",185.709,6.173
"14","Bangladesh",35.449,5.28
"15","Barbados",24.359,4.574
"16","Belarus",102.124,5.821
"17","Belgium",942.309,6.839
"18","Belize",128.263,5.956
"19","Benin",3.382,4.408
"20","Bolivia",742.909,5.559
"21","Bosnia and Herzegovina",336.502,5.516
"22","Botswana",8.93,3.471
"23","Brazil",743.068,6.11
"24","Brunei",6.857,4.609
"25","Bulgaria",167.088,5.598
"26","Burkina Faso",3.205,4.741
"27","Burundi",0.084,3.775
"28","Cameroon",16.048,5.241
"29","Canada",264.982,7.025
"30","Cape Verde",169.068,5.993
"31","Central African Republic",12.837,3.476
"32","Chad",5.844,4.251
"33","Chile",733.723,6.151
"34","China",3.293,5.771
"35","Colombia",600.693,5.709
"36","Comoros",8.05,4.609
"37","Congo",16.672,5.213
"38","Costa Rica",260.889,6.998
"39","Cote d'Ivoire",4.625,5.257
"40","Croatia",114.487,6.508
"41","Cuba",11.301,5.418
"42","Cyprus",28.542,6.26
"43","Democratic Republic of Congo",3.394,4.311
"44","Denmark",122.406,7.515
"45","Djibouti",61.741,4.369
"46","Dominican Republic",205.201,5.168
"47","Ecuador",713.482,5.354
"48","Egypt",60.801,4.472
"49","El Salvador",148.315,5.462
"50","Equatorial Guinea",59.16,4.472
"51","Estonia",55.03,6.453
"52","Ethiopia",12.569,4.549
"53","Fiji",2.231,4.408
"54","Finland",63.891,7.889
"55","France",544.493,6.714
"56","Gabon",24.262,4.914
"57","Gambia",49.241,5.164
"58","Georgia",63.422,5.123
"59","Germany",121.539,7.312
"60","Ghana",10.17,5.319
"61","Greece",56.893,5.788
"62","Guatemala",204.571,6.262
"63","Guinea",5.406,4.768
"64","Guinea-Bissau",20.833,3.512
"65","Guyana",151.292,5.993
"66","Haiti",20.346,3.615
"67","Honduras",266.442,5.93
"68","Hungary",163.348,6.038
"69","Iceland",32.234,7.575
"70","India",86.963,4.225
"71","Indonesia",49.4,5.347
"72","Iran",396.45,4.865
"73","Iraq",266.617,4.785
"74","Ireland",382.762,7.035
"75","Israel",286.868,7.195
"76","Italy",623.534,6.488
"77","Jamaica",66.19,6.309
"78","Japan",13.678,6.118
"79","Jordan",65.47,4.094
"80","Kazakhstan",118.285,6.168
"81","Kenya",17.37,4.547
"82","Kuwait",177.026,6.106
"83","Kyrgyzstan",174.428,6.25
"84","Latvia",33.4,6.229
"85","Lebanon",86.441,4.024
"86","Lesotho",20.072,3.512
"87","Liberia",16.213,5.121
"88","Libya",118.173,5.33
"89","Liechtenstein",26.221,4.574
"90","Lithuania",51.795,6.391
"91","Luxembourg",234.833,7.404
"92","Madagascar",8.812,4.339
"93","Malawi",9.566,3.869
"94","Malaysia",7.353,5.428
"95","Maldives",68.45,5.198
"96","Mali",6.716,4.988
"97","Malta",124.564,6.157
"98","Mauritania",35.056,4.153
"99","Mauritius",7.863,6.015
"100","Mexico",696.596,5.964
"101","Moldova",423.901,5.812
"102","Monaco",25.482,4.914
"103","Montenegro",437.855,5.722
"104","Morocco",93.334,4.803
"105","Mozambique",2.848,4.932
"106","Myanmar",21.081,4.431
"107","Namibia",52.343,4.451
"108","Nepal",30.065,5.449
"109","Netherlands",416.227,7.504
"110","New Zealand",5.184,7.257
"111","Nicaragua",23.549,6.113
"112","Niger",2.85,5.004
"113","Nigeria",5.506,5.503
"114","Norway",51.649,7.29
"115","Oman",235.576,6.853
"116","Pakistan",30.599,4.443
"117","Panama",614.17,6.086
"118","Papua New Guinea",0.782,4.641
"119","Paraguay",186.049,5.653
"120","Peru",1038.977,5.999
"121","Philippines",64.363,5.08
"122","Poland",121.94,6.139
"123","Portugal",232.526,5.768
"124","Qatar",79.832,6.375
"125","Romania",341.725,6.13
"126","Russia",182.198,5.495
"127","Rwanda",2.702,3.268
"128","San Marino",1237.551,5.559
"129","Sao Tome and Principe",68.443,4.094
"130","Saudi Arabia",153.071,6.56
"131","Senegal",19.231,5.489
"132","Serbia",117.274,6.042
"133","Sierra Leone",9.277,3.447
"134","Singapore",4.786,6.378
"135","Slovakia",32.237,6.519
"136","Slovenia",92.355,6.462
"137","Somalia",6.544,4.668
"138","South Africa",321.251,4.947
"139","South Korea",8.992,5.793
"140","South Sudan",5.003,2.817
"141","Spain",754.96,6.502
"142","Sri Lanka",0.887,4.213
"143","Sudan",19.088,4.139
"144","Suriname",189.215,6.269
"145","Sweden",585.983,7.314
"146","Switzerland",222.887,7.508
"147","Syria",15.714,3.462
"148","Tajikistan",8.493,5.373
"149","Tanzania",0.352,3.786
"150","Thailand",0.845,5.885
"151","Togo",6.523,4.179
"152","Trinidad and Tobago",75.742,6.192
"153","Tunisia",83.174,4.731
"154","Turkey",117.976,4.862
"155","Uganda",2.252,4.641
"156","Ukraine",150.685,5.27
"157","United Arab Emirates",48.734,6.458
"158","United Kingdom",668.253,6.798
"159","United States",684.958,7.028
"160","Uruguay",15.545,6.31
"161","Uzbekistan",16.642,6.154
"162","Venezuela",27.43,4.574
"163","Vietnam",0.36,5.467
"164","Yemen",20.117,4.197
"165","Zambia",18.93,4.838
"166","Zimbabwe",16.282,3.16
"167","Czech Republic",237.838,6.897
