"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford"
"1",39.277,11.565728,830.19,17.89,7.6,74.3150928
"2",169.226,7.6878707,374.06,0.98,21.8,42.00774
"3",44.035,12.2647583,287.77,1.04,34.9,25.60362
"4",931.858,8.0856197,130.3,0.46,25.3,50.33221573
"5",8.215,8.5194139,353.12,14.06,12.1,90.50985
"6",30.635,9.9233293,225.66,1.38,25.9,57.41216413
"7",657.805,9.8786283,224.34,1.12,29,8.5967
"8",419.474,10.986533,353.31,0.34,23,36.6346
"9",35.49,6.7891865,128.73,0.2,28.4,0.7444149
"10",111.698,5.4147456,178.03,0.28,18.3,0.5476114
"11",67.856,11.572171,538.85,1.33,23.6,0
"12",335.666,11.2055637,303.91,1.3,38.1,53.24286783
"13",185.709,12.006818,249.93,0.82,36.8,53.10822665
"14",35.449,10.2542749,313.8,0.98,5,77.60098
"15",24.359,10.5051944,198.43,1.35,31.3,56.85711173
"16",102.124,8.0120648,527.78,0.53,26.3,1.027703
"17",942.309,5.6681222,141.99,0.35,21,0.292606
"18",128.263,9.9988558,313.61,1.43,31.5,38.11414
"19",3.382,7.3902467,327.29,23.04,14.2,89.63388
"20",742.909,6.950181,215.4,1.88,25.6,25.54418
"21",336.502,7.9595233,319.89,0.38,18.4,3.633199
"22",8.93,7.5742542,343.14,5.06,29.3,60.1921
"23",743.068,7.7976249,222.15,1.25,25.4,12.98858
"24",6.857,9.2080746,220.47,0.92,15.7,74.7934927
"25",167.088,8.4220956,508.75,0.62,24.3,9.337595
"26",3.205,7.3630174,350.79,30.89,8.1,89.96324
"27",0.084,4.2383366,383.29,24.8,8.6,97.167
"28",16.048,6.5496373,320.24,22.12,16.4,66.43285
"29",264.982,6.2295715,126.84,0.27,29.3,0.4973831
"30",169.068,9.0616702,284.41,4.74,16.3,32.42308
"31",12.837,7.9801102,506.18,24.66,10.9,93.04771
"32",5.844,7.893766,328.47,30,8.9,83.21726
"33",733.723,10.1604348,138.67,0.67,31,1.807866
"34",3.293,9.8981826,307.9,0.61,6.5,17.94347
"35",600.693,8.3281758,185.27,1.09,26.6,22.39919
"36",8.05,7.863303,312.61,19.82,12.2,60.2145
"37",16.672,7.7231127,374.62,13.14,13.5,90.04419
"38",260.889,8.8486617,130.93,0.85,30.4,10.59034
"39",4.625,7.3379487,422.34,21.59,15.2,68.84484
"40",114.487,8.3590648,325.58,0.31,24.5,5.311003
"41",11.301,7.2850055,214.01,0.8,30.3,64.51641334
"42",28.542,8.2802862,187.14,0.32,21.6,0.05130247
"43",3.394,6.2299002,353.13,16.71,9.7,95.51018
"44",122.406,5.3713457,137.43,0.44,17,0.1710614
"45",61.741,8.6408121,305.33,19.55,18.3,66.70957
"46",205.201,8.6348075,272.57,2.52,34.1,18.58065
"47",713.482,7.4656134,141.95,0.89,24.7,17.05914
"48",60.801,15.9915285,436.74,1.27,41.1,75.18362
"49",148.315,9.3025743,179.53,1.83,28.9,41.0972
"50",59.16,9.4867882,238.66,9.17,12.6,58.31361363
