"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"total_confirmed_deaths_due_to_covid_19_per_million_people",1,-0.07,-0.07,0.09,0.09,-0.26,-0.2,-0.04,-0.04,-0.04,-0.34,-0.34,-0.34,0.25,-0.04,-0.34,-0.36,-0.05,-0.19,-0.17,-0.17,-0.27,-0.36,-0.35,0,0.29,0.36,0.4,0.28
"age_standardised_diabetes_prevalence_male",-0.07,1,0.9,0.76,0.76,0.06,0.36,-0.01,-0.01,-0.01,-0.31,-0.29,-0.28,-0.08,0.24,0.21,0,0.45,0.07,-0.01,0.35,-0.36,-0.23,-0.32,-0.48,0.15,0.48,0.36,0.59
"age_standardised_diabetes_prevalence_female",-0.07,0.9,1,0.82,0.82,0.06,0.39,-0.02,-0.02,-0.02,-0.26,-0.25,-0.23,-0.24,0.16,0.27,0.1,0.59,0.08,0.12,0.53,-0.23,-0.19,-0.26,-0.43,-0.01,0.44,0.22,0.62
"crude_diabetes_prevalence_male",0.09,0.76,0.82,1,1,-0.07,0.25,-0.05,-0.04,-0.04,-0.58,-0.56,-0.55,0.21,0.01,0.09,-0.11,0.34,-0.14,-0.08,0.28,-0.54,-0.53,-0.58,-0.25,0.32,0.63,0.5,0.69
"crude_diabetes_prevalence_female",0.09,0.76,0.82,1,1,-0.07,0.25,-0.05,-0.04,-0.04,-0.58,-0.56,-0.55,0.21,0.01,0.09,-0.11,0.35,-0.14,-0.08,0.28,-0.54,-0.53,-0.58,-0.25,0.32,0.63,0.5,0.69
"ratio_of_diabetes_to_obesity_prevalence",-0.26,0.06,0.06,-0.07,-0.07,1,0.84,0.36,0.36,0.36,0.16,0.18,0.21,-0.2,0.24,0.09,0.23,0.21,0.33,0.08,0.21,0.14,0.29,0.08,-0.15,-0.26,-0.55,-0.51,-0.51
"ratio_of_diabetes_to_overweight_prevalence",-0.2,0.36,0.39,0.25,0.25,0.84,1,0.28,0.28,0.28,0,0.02,0.05,-0.24,0.31,0.1,0.15,0.41,0.27,0.06,0.41,0.04,0.14,-0.06,-0.27,-0.17,-0.23,-0.27,-0.15
"deaths_no_access_to_handwashing_facility_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.05,-0.05,0.36,0.28,1,1,1,0.18,0.19,0.25,-0.08,-0.12,0.03,0.02,0.02,0.25,0,0.02,0.04,0.27,0.02,-0.14,-0.07,-0.17,-0.15,-0.17
"deaths_unsafe_sanitation_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.04,-0.04,0.36,0.28,1,1,1,0.18,0.19,0.25,-0.08,-0.11,0.03,0.02,0.02,0.25,0,0.02,0.04,0.27,0.02,-0.14,-0.07,-0.17,-0.15,-0.17
"deaths_unsafe_water_source_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.04,-0.04,0.36,0.28,1,1,1,0.17,0.18,0.24,-0.08,-0.11,0.03,0.02,0.02,0.25,0,0.02,0.04,0.26,0.01,-0.14,-0.06,-0.17,-0.14,-0.17
