"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"total_confirmed_deaths_due_to_covid_19_per_million_people",1,-0.08,0.04,-0.23,-0.07,0.05,-0.22,-0.26,-0.28,-0.3,-0.22,-0.37,-0.42,-0.1,-0.09,-0.09,0.05,-0.08,0.38
"cost_of_calorie_sufficient_diet_2017_usd_per_day",-0.08,1,0.45,0.56,1,0.45,0.56,0.48,0.23,0.19,0.36,0.3,0.31,0.21,0.06,0.05,0.05,0.03,-0.27
"cost_of_nutrient_adequate_diet_2017_usd_per_day",0.04,0.45,1,0.57,0.45,1,0.57,0.01,0.12,-0.07,-0.06,0.01,-0.07,-0.05,-0.07,-0.08,-0.05,-0.09,0.11
"cost_of_healthy_diet_2017_usd_per_day",-0.23,0.56,0.57,1,0.55,0.57,1,0.35,0.3,0.33,0.14,0.22,0.3,-0.01,-0.01,0.01,-0.01,-0.02,-0.33
"calorie_sufficient_diet_cost_percent_of_1_20_poverty_line",-0.07,1,0.45,0.55,1,0.45,0.55,0.48,0.23,0.19,0.36,0.3,0.32,0.21,0.05,0.05,0.04,0.02,-0.26
"nutrient_adequate_diet_cost_percent_of_1_20_poverty_line",0.05,0.45,1,0.57,0.45,1,0.57,0.01,0.12,-0.07,-0.06,0.01,-0.07,-0.06,-0.07,-0.08,-0.05,-0.09,0.11
"healthy_diet_cost_percent_of_1_20_poverty_line",-0.22,0.56,0.57,1,0.55,0.57,1,0.35,0.3,0.33,0.14,0.22,0.3,-0.01,-0.01,0.01,-0.01,-0.02,-0.32
"calorie_sufficient_diet_cost_percent_of_average_food_expenditure",-0.26,0.48,0.01,0.35,0.48,0.01,0.35,1,0.87,0.91,0.7,0.7,0.67,0.16,0.08,0.06,-0.03,0.06,-0.46
"nutrient_adequate_diet_cost_percent_of_average_food_expenditure",-0.28,0.23,0.12,0.3,0.23,0.12,0.3,0.87,1,0.95,0.5,0.72,0.65,0.1,0.07,0.05,-0.05,0.06,-0.41
"healthy_diet_cost_percent_of_average_food_expenditure",-0.3,0.19,-0.07,0.33,0.19,-0.07,0.33,0.91,0.95,1,0.52,0.67,0.65,0.09,0.07,0.06,-0.04,0.06,-0.45
"calorie_sufficient_diet_cost_percent_cannot_afford",-0.22,0.36,-0.06,0.14,0.36,-0.06,0.14,0.7,0.5,0.52,1,0.71,0.58,0.47,0.07,0.01,-0.11,0.01,-0.43
"nutrient_adequate_diet_cost_percent_cannot_afford",-0.37,0.3,0.01,0.22,0.3,0.01,0.22,0.7,0.72,0.67,0.71,1,0.94,0.34,0.18,0.13,-0.13,0.09,-0.64
"healthy_diet_cost_percent_cannot_afford",-0.42,0.31,-0.07,0.3,0.32,-0.07,0.3,0.67,0.65,0.65,0.58,0.94,1,0.29,0.23,0.2,-0.08,0.14,-0.71
"calorie_sufficient_diet_cost_number_cannot_afford",-0.1,0.21,-0.05,-0.01,0.21,-0.06,-0.01,0.16,0.1,0.09,0.47,0.34,0.29,1,0.33,0.25,0.05,0.23,-0.15
"nutrient_adequate_diet_cost_number_cannot_afford",-0.09,0.06,-0.07,-0.01,0.05,-0.07,-0.01,0.08,0.07,0.07,0.07,0.18,0.23,0.33,1,0.98,0.46,0.94,-0.17
"healthy_diet_cost_number_cannot_afford",-0.09,0.05,-0.08,0.01,0.05,-0.08,0.01,0.06,0.05,0.06,0.01,0.13,0.2,0.25,0.98,1,0.6,0.98,-0.17
"population_with_access_to_improved_sanitation_y",0.05,0.05,-0.05,-0.01,0.04,-0.05,-0.01,-0.03,-0.05,-0.04,-0.11,-0.13,-0.08,0.05,0.46,0.6,1,0.69,0.02
"population_without_access_to_improved_sanitation_y",-0.08,0.03,-0.09,-0.02,0.02,-0.09,-0.02,0.06,0.06,0.06,0.01,0.09,0.14,0.23,0.94,0.98,0.69,1,-0.14
"life_satisfaction_in_cantril_ladder_world_happiness_report_2019",0.38,-0.27,0.11,-0.33,-0.26,0.11,-0.32,-0.46,-0.41,-0.45,-0.43,-0.64,-0.71,-0.15,-0.17,-0.17,0.02,-0.14,1
