"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_healthy_diet_2017_usd_per_day","healthy_diet_cost_percent_cannot_afford","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","liver_disease_ihme_2017","hepatitis_ihme_2017","prevalence_of_obesity_male_who_2019"
"1","Afghanistan",39.277,3.65686631344,70.361108,8.8120829,830.19,32.19,2.18,3.2
"2","Albania",169.226,4.281675858,42.00774,8.0693345,374.06,8.57,0.08,21.6
"3","Algeria",44.035,4.01711778,25.60362,10.7245025,287.77,13.86,0.86,19.9
"4","Andorra",931.858,3.47625515463,58.16866918,8.2099398,130.3,7.45,0.08,25.9
"5","Angola",8.215,4.582558116,90.50985,5.4878877,353.12,41.6,3.27,4
"6","Antigua and Barbuda",30.635,3.51534122212,67.69157878,13.5797672,225.66,13.74,0.19,11.6
"7","Argentina",657.805,3.4968817,8.5967,10.5125892,224.34,16.37,0.31,27.3
"8","Armenia",419.474,3.561060854,36.6346,13.4786177,353.31,26.6,0.19,17.1
"9","Australia",35.49,2.270715631,0.7444149,6.4767592,128.73,6.49,0.37,29.6
"10","Austria",111.698,2.905280516,0.5476114,5.0037759,178.03,13.49,0.04,21.9
"11","Azerbaijan",67.856,2.805918933,0,12.6342799,538.85,42.35,0.63,15.8
"12","Bahamas",335.666,3.52350849986,60.9854894,14.2889055,303.91,16.98,0.25,24.4
"13","Bahrain",185.709,3.53003641991,61.95226788,8.2248035,249.93,14.4,1.94,25.5
"14","Bangladesh",35.449,3.441523122,77.60098,7.4267267,313.8,25.9,4.19,2.3
"15","Barbados",24.359,3.51846416893,67.88132438,16.3594163,198.43,11.08,0.24,14.7
"16","Belarus",102.124,4.061629992,1.027703,9.9730906,527.78,19.51,0.22,22.1
"17","Belgium",942.309,2.876678049,0.292606,5.3784499,141.99,10.46,0.24,23.1
"18","Belize",128.263,2.913016384,38.11414,12.2353456,313.61,28.42,0.44,16.5
"19","Benin",3.382,3.523153305,89.63388,5.1142909,327.29,34.97,3.71,4.7
"20","Bhutan",164.62518,4.779471981,52.1443,8.8572443,270.84,20.92,2.75,4.7
"21","Bolivia",742.909,3.758738978,25.54418,7.677487,215.4,28.66,0.65,14.5
"22","Bosnia and Herzegovina",336.502,4.284558679,3.633199,9.1098473,319.89,10.27,0.15,17.1
"23","Botswana",8.93,3.958068766,60.1921,7.0963344,343.14,15.32,0.62,8.1
"24","Brazil",743.068,2.807738164,12.98858,8.8017492,222.15,18.64,0.56,18.5
"25","Brunei",6.857,3.63830114137,73.5375005,9.2202553,220.47,6.97,0.45,12.5
"26","Bulgaria",167.088,4.167510318,9.337595,10.0065948,508.75,16.41,0.26,25.5
"27","Burkina Faso",3.205,3.542036729,89.96324,3.7923581,350.79,28.2,5.26,2.6
"28","Burundi",0.084,3.439233172,97.167,2.5851791,383.29,34.64,5.13,2.1
"29","Cambodia",44.64192,3.62972165301,67.5065836,6.0548587,354.3,75.21,7.2,2.7
"30","Cameroon",16.048,3.601684469,66.43285,4.8773871,320.24,46.87,3.99,6.1
"31","Canada",264.982,2.976252719,0.4973831,6.5400874,126.84,8.24,0.25,29.5
"32","Cape Verde",169.068,3.364083781,32.42308,6.9133444,284.41,22.7,1.36,6.9
"33","Central African Republic",12.837,3.267034795,93.04771,5.7774477,506.18,39.85,6.76,3.7
"34","Chad",5.844,3.216645812,83.21726,4.0834561,328.47,35.45,4.04,3.1
"35","Chile",733.723,3.075040316,1.807866,11.9969369,138.67,23.92,0.13,24.9
"36","China",3.293,3.608958352,17.94347,8.2972253,307.9,10.09,0.61,5.9
"37","Colombia",600.693,3.266096458,22.39919,8.4604687,185.27,10,0.18,17.6
"38","Comoros",8.05,3.357260846,60.2145,6.0384258,312.61,23.24,3.56,3.3
"39","Congo",16.672,3.876845836,90.04419,5.7576397,374.62,41.93,3.14,5.5
"40","Costa Rica",260.889,3.879117852,10.59034,8.7075053,130.93,17.23,0.4,21.1
"41","Cote d'Ivoire",4.625,2.889052155,68.84484,4.4236553,422.34,47.95,4.59,5.8
"42","Croatia",114.487,4.373040879,5.311003,9.2294015,325.58,18.81,0.05,24.1
"43","Cuba",11.301,3.61887158295,68.1359847,11.7883774,214.01,10.7,0.09,18.9
"44","Cyprus",28.542,3.051524636,0.05130247,6.7227887,187.14,7.54,0.15,21.9
"45","Czech Republic",237.838,3.108033837,0.188587,9.060892,283.58,13.41,0.1,26.4
