"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"total_confirmed_deaths_due_to_covid_19_per_million_people",1,-0.03,-0.03,0.1,0.1,-0.27,-0.19,-0.04,-0.04,-0.04,-0.36,-0.36,-0.36,0.24,-0.05,-0.3,-0.33,-0.02,-0.18,-0.18,-0.12,-0.28,-0.34,-0.36,0.02,0.31,0.35,0.39,0.28
"age_standardised_diabetes_prevalence_male",-0.03,1,0.93,0.84,0.84,-0.03,0.3,-0.02,-0.02,-0.02,-0.29,-0.23,-0.21,-0.14,0.28,0.27,0.13,0.58,0.18,0.02,0.55,-0.17,-0.08,-0.26,-0.29,0.06,0.62,0.52,0.69
"age_standardised_diabetes_prevalence_female",-0.03,0.93,1,0.89,0.89,-0.02,0.33,-0.03,-0.03,-0.03,-0.26,-0.22,-0.2,-0.26,0.22,0.31,0.19,0.69,0.18,0.09,0.64,-0.09,-0.06,-0.22,-0.23,-0.07,0.6,0.42,0.72
"crude_diabetes_prevalence_male",0.1,0.84,0.89,1,1,-0.13,0.21,-0.05,-0.05,-0.04,-0.49,-0.45,-0.43,0.08,0.1,0.16,0.03,0.52,0.01,-0.07,0.51,-0.31,-0.31,-0.47,-0.1,0.18,0.73,0.61,0.77
"crude_diabetes_prevalence_female",0.1,0.84,0.89,1,1,-0.13,0.21,-0.05,-0.05,-0.04,-0.49,-0.45,-0.43,0.08,0.1,0.16,0.03,0.52,0.01,-0.07,0.51,-0.31,-0.31,-0.47,-0.1,0.18,0.73,0.61,0.77
"ratio_of_diabetes_to_obesity_prevalence",-0.27,-0.03,-0.02,-0.13,-0.13,1,0.82,0.33,0.33,0.33,0.16,0.19,0.21,-0.2,0.24,0.07,0.2,0.14,0.31,0.07,0.1,0.15,0.26,0.08,-0.17,-0.26,-0.54,-0.51,-0.5
"ratio_of_diabetes_to_overweight_prevalence",-0.19,0.3,0.33,0.21,0.21,0.82,1,0.25,0.25,0.25,0,0.03,0.06,-0.26,0.3,0.11,0.15,0.4,0.29,0.02,0.35,0.08,0.12,-0.06,-0.23,-0.19,-0.19,-0.23,-0.11
"deaths_no_access_to_handwashing_facility_sex_both_age_70_number",-0.04,-0.02,-0.03,-0.05,-0.05,0.33,0.25,1,1,1,0.19,0.19,0.25,-0.08,-0.11,0.02,0.01,0,0.21,0,0,0.04,0.25,0.03,-0.12,-0.07,-0.15,-0.14,-0.15
"deaths_unsafe_sanitation_sex_both_age_70_number",-0.04,-0.02,-0.03,-0.05,-0.05,0.33,0.25,1,1,1,0.18,0.19,0.25,-0.08,-0.11,0.02,0.01,0,0.21,0,0,0.04,0.24,0.02,-0.12,-0.07,-0.15,-0.14,-0.15
"deaths_unsafe_water_source_sex_both_age_70_number",-0.04,-0.02,-0.03,-0.04,-0.04,0.33,0.25,1,1,1,0.18,0.18,0.24,-0.07,-0.1,0.02,0.01,0,0.21,0,0,0.03,0.24,0.01,-0.13,-0.06,-0.15,-0.13,-0.15
"deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate",-0.36,-0.29,-0.26,-0.49,-0.49,0.16,0,0.19,0.18,0.18,1,0.99,0.98,-0.54,-0.06,0.2,0.36,-0.11,0.35,0.35,0.05,0.77,0.8,0.9,0.07,-0.64,-0.58,-0.63,-0.49
"deaths_unsafe_sanitation_sex_both_age_70_rate",-0.36,-0.23,-0.22,-0.45,-0.45,0.19,0.03,0.19,0.19,0.18,0.99,1,0.99,-0.54,-0.03,0.24,0.4,-0.06,0.44,0.36,0.1,0.79,0.8,0.88,0.06,-0.64,-0.56,-0.61,-0.47
"deaths_unsafe_water_source_sex_both_age_70_rate",-0.36,-0.21,-0.2,-0.43,-0.43,0.21,0.06,0.25,0.25,0.24,0.98,0.99,1,-0.55,-0.03,0.23,0.4,-0.04,0.45,0.36,0.11,0.78,0.81,0.85,0.03,-0.64,-0.56,-0.61,-0.47
"male_lung_cancer_deaths_per_100_000_who_iarc_2016",0.24,-0.14,-0.26,0.08,0.08,-0.2,-0.26,-0.08,-0.08,-0.07,-0.54,-0.54,-0.55,1,-0.15,-0.17,-0.26,-0.43,-0.31,-0.33,-0.41,-0.51,-0.55,-0.56,0.26,0.69,0.27,0.44,0.1
"dementia_ihme_2017",-0.05,0.28,0.22,0.1,0.1,0.24,0.3,-0.11,-0.11,-0.1,-0.06,-0.03,-0.03,-0.15,1,-0.1,-0.02,0.3,0.15,-0.07,0.21,0.14,0.06,-0.04,-0.13,0.02,0.08,0.06,0.1
"cardiovascular_diseases_ihme_2017",-0.3,0.27,0.31,0.16,0.16,0.07,0.11,0.02,0.02,0.02,0.2,0.24,0.23,-0.17,-0.1,1,0.87,0.29,0.42,0.47,0.32,0.34,0.27,0.24,0.04,-0.21,-0.08,-0.15,-0.02
"stroke_ihme_2017",-0.33,0.13,0.19,0.03,0.03,0.2,0.15,0.01,0.01,0.01,0.36,0.4,0.4,-0.26,-0.02,0.87,1,0.28,0.58,0.48,0.34,0.52,0.41,0.36,0.19,-0.37,-0.25,-0.32,-0.19
"kidney_disease_ihme_2017",-0.02,0.58,0.69,0.52,0.52,0.14,0.4,0,0,0,-0.11,-0.06,-0.04,-0.43,0.3,0.29,0.28,1,0.41,0.13,0.81,0.16,0.04,-0.05,-0.13,-0.31,0.29,0.14,0.4
"respiratory_disease_ihme_2017",-0.18,0.18,0.18,0.01,0.01,0.31,0.29,0.21,0.21,0.21,0.35,0.44,0.45,-0.31,0.15,0.42,0.58,0.41,1,0.26,0.41,0.43,0.37,0.24,0,-0.4,-0.21,-0.25,-0.16
"liver_disease_ihme_2017",-0.18,0.02,0.09,-0.07,-0.07,0.07,0.02,0,0,0,0.35,0.36,0.36,-0.33,-0.07,0.47,0.48,0.13,0.26,1,0.07,0.5,0.43,0.38,0.03,-0.32,-0.28,-0.34,-0.21
"diabetes_blood_and_endocrine_disease_ihme_2017",-0.12,0.55,0.64,0.51,0.51,0.1,0.35,0,0,0,0.05,0.1,0.11,-0.41,0.21,0.32,0.34,0.81,0.41,0.07,1,0.26,0.16,0.09,-0.03,-0.36,0.3,0.16,0.4
"digestive_disease_ihme_2017",-0.28,-0.17,-0.09,-0.31,-0.31,0.15,0.08,0.04,0.04,0.03,0.77,0.79,0.78,-0.51,0.14,0.34,0.52,0.16,0.43,0.5,0.26,1,0.8,0.78,0.29,-0.62,-0.43,-0.51,-0.34
"hepatitis_ihme_2017",-0.34,-0.08,-0.06,-0.31,-0.31,0.26,0.12,0.25,0.24,0.24,0.8,0.8,0.81,-0.55,0.06,0.27,0.41,0.04,0.37,0.43,0.16,0.8,1,0.81,0.06,-0.57,-0.49,-0.53,-0.41
"meningitis_ihme_2017",-0.36,-0.26,-0.22,-0.47,-0.47,0.08,-0.06,0.03,0.02,0.01,0.9,0.88,0.85,-0.56,-0.04,0.24,0.36,-0.05,0.24,0.38,0.09,0.78,0.81,1,0.16,-0.62,-0.53,-0.59,-0.44
"cancers_ihme_2017",0.02,-0.29,-0.23,-0.1,-0.1,-0.17,-0.23,-0.12,-0.12,-0.13,0.07,0.06,0.03,0.26,-0.13,0.04,0.19,-0.13,0,0.03,-0.03,0.29,0.06,0.16,1,0.05,-0.03,-0.01,-0.07
"parkinsons_disease_ihme_2017",0.31,0.06,-0.07,0.18,0.18,-0.26,-0.19,-0.07,-0.07,-0.06,-0.64,-0.64,-0.64,0.69,0.02,-0.21,-0.37,-0.31,-0.4,-0.32,-0.36,-0.62,-0.57,-0.62,0.05,1,0.46,0.61,0.3
"prevalence_of_obesity_both_sexes_who_2019",0.35,0.62,0.6,0.73,0.73,-0.54,-0.19,-0.15,-0.15,-0.15,-0.58,-0.56,-0.56,0.27,0.08,-0.08,-0.25,0.29,-0.21,-0.28,0.3,-0.43,-0.49,-0.53,-0.03,0.46,1,0.95,0.96
