"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","crude_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_male_who_2019","healthy_diet_cost_percent_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1","Afghanistan",39.277,8.8120829,830.19,17.89,3.2,0.09872849,2.375
"2","Albania",169.226,8.0693345,374.06,0.98,21.6,42.00774,5.365
"3","Algeria",44.035,10.7245025,287.77,1.04,19.9,25.60362,4.745
"4","Andorra",931.858,8.2099398,130.3,0.46,25.9,11.02077,5.999
"5","Angola",8.215,5.4878877,353.12,14.06,4,90.50985,3.795
"6","Antigua and Barbuda",30.635,13.5797672,225.66,1.38,11.6,66.70957,3.786
"7","Argentina",657.805,10.5125892,224.34,1.12,27.3,8.5967,5.901
"8","Armenia",419.474,13.4786177,353.31,0.34,17.1,36.6346,5.488
"9","Australia",35.49,6.4767592,128.73,0.2,29.6,0.7444149,7.137
"10","Austria",111.698,5.0037759,178.03,0.28,21.9,0.5476114,7.213
"11","Azerbaijan",67.856,12.6342799,538.85,1.33,15.8,0,5.173
"12","Bahamas",335.666,14.2889055,303.91,1.3,24.4,13.31939,4.947
"13","Bahrain",185.709,8.2248035,249.93,0.82,25.5,17.73234,6.173
"14","Bangladesh",35.449,7.4267267,313.8,0.98,2.3,77.60098,5.28
"15","Barbados",24.359,16.3594163,198.43,1.35,14.7,0.9977683,5.474
"16","Belarus",102.124,9.9730906,527.78,0.53,22.1,1.027703,5.821
"17","Belgium",942.309,5.3784499,141.99,0.35,23.1,0.292606,6.839
"18","Belize",128.263,12.2353456,313.61,1.43,16.5,38.11414,5.956
"19","Benin",3.382,5.1142909,327.29,23.04,4.7,89.63388,4.408
"20","Bhutan",30.599,8.8572443,270.84,4.12,4.7,52.1443,5.082
"21","Bolivia",742.909,7.677487,215.4,1.88,14.5,25.54418,5.559
"22","Bosnia and Herzegovina",336.502,9.1098473,319.89,0.38,17.1,3.633199,5.516
"23","Botswana",8.93,7.0963344,343.14,5.06,8.1,60.1921,3.471
"24","Brazil",743.068,8.8017492,222.15,1.25,18.5,12.98858,6.11
"25","Brunei",6.857,9.2202553,220.47,0.92,12.5,64.24689,5.474
"26","Bulgaria",167.088,10.0065948,508.75,0.62,25.5,9.337595,5.598
"27","Burkina Faso",3.205,3.7923581,350.79,30.89,2.6,89.96324,4.741
"28","Burundi",0.084,2.5851791,383.29,24.8,2.1,97.167,3.775
"29","Cambodia",264.982,6.0548587,354.3,2.79,2.7,5.710876,4.377
"30","Cameroon",16.048,4.8773871,320.24,22.12,6.1,66.43285,5.241
"31","Canada",264.982,6.5400874,126.84,0.27,29.5,0.4973831,7.025
"32","Cape Verde",169.068,6.9133444,284.41,4.74,6.9,32.42308,6.139
"33","Central African Republic",12.837,5.7774477,506.18,24.66,3.7,93.04771,3.476
"34","Chad",5.844,4.0834561,328.47,30,3.1,83.21726,4.251
"35","Chile",733.723,11.9969369,138.67,0.67,24.9,1.807866,6.151
"36","China",3.293,8.2972253,307.9,0.61,5.9,17.94347,5.771
"37","Colombia",600.693,8.4604687,185.27,1.09,17.6,22.39919,5.709
