"","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cardiovascular_diseases_ihme_2017","kidney_disease_ihme_2017","prevalence_of_obesity_male_who_2019","healthy_diet_cost_percent_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1",39.277,830.19,74.52,3.2,90.04419,2.375
"2",169.226,374.06,11.15,21.6,42.00774,5.365
"3",44.035,287.77,29.4,19.9,25.60362,4.745
"4",931.858,130.3,4.11,25.9,61.10259,5.559
"5",8.215,353.12,13.32,4,90.50985,3.795
"6",30.635,225.66,27.82,11.6,66.43285,7.137
"7",657.805,224.34,22.12,27.3,8.5967,5.901
"8",419.474,353.31,10.56,17.1,36.6346,5.488
"9",35.49,128.73,10.17,29.6,0.7444149,7.137
"10",111.698,178.03,12.79,21.9,0.5476114,7.213
"11",67.856,538.85,15.29,15.8,0,5.173
"12",335.666,303.91,30.54,24.4,15.44793,5.082
"13",185.709,249.93,33.35,25.5,12.04238,6.173
"14",35.449,313.8,20.86,2.3,77.60098,5.28
"15",24.359,198.43,22.01,14.7,11.02077,4.914
"16",102.124,527.78,4.24,22.1,1.027703,5.821
"17",942.309,141.99,8.6,23.1,0.292606,6.839
"18",128.263,313.61,46.99,16.5,38.11414,5.956
"19",3.382,327.29,23.47,4.7,89.63388,4.408
"20",68.45,270.84,25.17,4.7,52.1443,5.082
"21",742.909,215.4,45.48,14.5,25.54418,5.559
"22",336.502,319.89,10.77,17.1,3.633199,5.516
"23",8.93,343.14,24.71,8.1,60.1921,3.471
"24",743.068,222.15,19.62,18.5,12.98858,6.11
"25",6.857,220.47,26.52,12.5,81.69172,3.795
"26",167.088,508.75,10.98,25.5,9.337595,5.598
"27",3.205,350.79,16.09,2.6,89.96324,4.741
"28",0.084,383.29,12.68,2.1,97.167,3.775
"29",21.081,354.3,24.86,2.7,0.4126038,4.377
"30",16.048,320.24,24.89,6.1,66.43285,5.241
"31",264.982,126.84,8.99,29.5,0.4973831,7.025
"32",169.068,284.41,19.48,6.9,32.42308,5.956
"33",12.837,506.18,16.31,3.7,93.04771,3.476
"34",5.844,328.47,22.88,3.1,83.21726,4.251
"35",733.723,138.67,18.62,24.9,1.807866,6.151
"36",3.293,307.9,12.13,5.9,17.94347,5.771
"37",600.693,185.27,22.02,17.6,22.39919,5.709
"38",8.05,312.61,12.07,3.3,60.2145,4.609
"39",16.672,374.62,15.38,5.5,90.04419,5.213
"40",260.889,130.93,24.85,21.1,10.59034,6.998
"41",4.625,422.34,27.81,5.8,68.84484,5.257
"42",114.487,325.58,8.95,24.1,5.311003,6.508
"43",11.301,214.01,13.13,18.9,17.94347,5.418
"44",28.542,187.14,17.83,21.9,0.05130247,6.26
"45",237.838,283.58,6.81,26.4,0.188587,6.897
"46",3.394,353.13,11.47,3.6,95.51018,4.311
"47",122.406,137.43,8.07,22.3,0.1710614,7.515
"48",61.741,305.33,13.97,8.6,66.70957,4.369
"49",335.666,293.7,42.57,19.9,14.87213,5.771
"50",205.201,272.57,22.63,21,18.58065,5.168
"51",713.482,141.95,40.64,14.9,17.05914,5.354
"52",60.801,436.74,31.43,22.7,75.18362,4.472
"53",148.315,179.53,69.3,18.9,41.0972,5.462
"54",59.16,238.66,11.01,3.8,42.00774,4.472
"55",0.352,386.59,13.53,2,41.0972,3.16
"56",55.03,326.4,8.79,20.3,0.7833411,6.453
"57",12.569,360.35,17.09,1.9,87.36121,4.549
"58",2.231,482.67,83.75,25.1,28.74499,4.641
"59",63.891,179.76,4.09,23.7,0.09872849,7.889
"60",544.493,109.08,6.13,22,0.0396873,6.714
"61",24.262,308.36,16.72,9.6,32.0472,4.914
"62",49.241,320.01,19.24,5.6,73.06253,5.164
"63",63.422,490.35,12.9,19.2,72.0897,5.123
"64",121.539,186.93,12.41,24.2,0.2406784,7.312
"65",10.17,362.74,18.77,4.5,60.90227,5.319
"66",56.893,215.53,11.93,24.2,2.895735,5.788
"67",75.742,340.45,44.15,13.3,12.04238,4.785
"68",204.571,165.83,50.47,15.1,48.85315,6.262
"69",5.406,382.26,19.77,3.7,90.28445,4.768
"70",20.833,495.16,32.36,5,92.62132,5.489
"71",151.292,495.73,36.09,12.7,39.30348,5.993
"72",20.346,544.45,38.25,17.9,82.16744,3.615
"73",266.442,315.58,58.97,15.6,48.85315,5.93
"74",163.348,361.76,8.6,28.2,3.021302,6.038
"75",32.234,147.84,5.54,24.2,0.01792546,7.575
"76",86.963,344.27,27.09,2.7,71.48567,4.225
"77",49.4,384.93,20.78,4.8,71.30388,5.347
"78",396.45,352.24,20.78,19.3,10.49139,4.865
"79",266.617,613.13,50.48,23.4,50.81578,4.785
"80",382.762,159.45,9.19,25.1,0.3353735,7.035
"81",286.868,119.21,22.52,25.9,0.9977683,7.195
"82",623.534,144.02,8.78,20.1,2.472911,6.488
"83",66.19,248.65,30.32,15.3,52.39908,6.309
"84",13.678,94.69,9.7,4.8,1.616443,6.118
"85",65.47,297.16,40.39,28.2,19.90089,4.094
"86",118.285,534.53,11.76,18.9,1.16534,6.168
"87",17.37,225.89,8.37,2.8,78.95827,4.547
"88",0.782,498.79,50.5,41.6,0.02182594,5.241
"89",177.026,245.7,19.5,33.3,0.3404294,6.106
"90",174.428,574.47,11.18,14,57.584,6.25
"91",52.343,443.23,29.84,3.7,83.7078,5.284
"92",33.4,423.55,6.1,21.6,2.62944,6.229
"93",86.441,217.53,11.09,27.4,1.807866,4.024
"94",20.072,501.31,33.31,4.6,76.94296,3.512
"95",16.213,346.06,26.69,5.5,97.57058,5.121
"96",118.173,310.43,43.25,25,0.4563593,5.33
"97",51.795,382.11,4.51,24.2,2.856601,6.391
"98",234.833,150.35,8.54,24.5,0.4126038,7.404
"99",8.812,505.29,10.56,3,96.73974,4.339
"100",9.566,312.91,14.34,2.2,92.84431,3.869
"101",7.353,320.97,19.58,13,2.754231,5.428
"102",68.45,239.27,36.26,5.8,2.729918,5.198
"103",6.716,318.64,19.54,4.6,90.62164,4.988
"104",124.564,181.96,10.76,29.2,0.3113678,6.157
"105",60.801,421.9,79.67,48.4,60.1921,6.56
"106",35.056,288.87,20.46,6.6,68.03631,4.153
"107",7.863,271.8,67.1,5.6,12.04238,6.015
"108",696.596,158.3,62.13,24.3,17.93763,5.964
"109",266.617,582.98,86.95,40.1,42.00774,7.29
"110",423.901,543.97,4.48,16.2,4.655106,5.812
"111",169.226,579.93,20.03,17.5,43.16624,6.011
"112",437.855,412.62,13.84,23.3,14.87213,5.722
"113",93.334,319.37,37.14,19.4,13.70442,4.803
"114",2.848,338.52,13.58,3.3,90.62317,4.932
"115",21.081,285.17,29.02,4,51.92937,4.431
"116",52.343,330.6,21.52,7.5,45.98487,4.451
"117",30.065,330.7,26.46,2.7,72.0897,5.449
"118",416.227,127.71,7.93,20.8,0.3128131,7.504
"119",5.184,155.77,10.75,30.1,0,7.257
"120",23.549,180.52,58.52,17.9,27.84136,6.113
"121",2.85,334.07,19.47,2.5,91.94135,5.004
"122",5.506,197.62,6.72,4.6,89.12486,5.503
"123",6.857,411.09,15.08,6.1,90.04419,5.885
"124",51.649,137.75,6.14,23.6,0.4563593,7.29
"125",235.576,314.92,21.32,22.9,25.60362,6.853
"126",30.599,479.9,29.37,6,75.2726,4.443
"127",614.17,154.03,27.31,17.8,19.78807,6.086
"128",0.782,591.54,59.11,16.6,7.340323,3.775
"129",186.049,271.74,38.59,17.1,15.44793,5.653
"130",1038.977,108.51,24.06,15.2,22.43048,5.999
"131",64.363,427.92,50.55,5.2,64.24689,5.08
"132",121.94,283.08,7.6,23.7,0.449238,6.139
"133",232.526,155.11,12.82,20.3,0.9322764,5.768
"134",79.832,187.72,25.77,32.5,1.027703,6.375
"135",341.725,430.29,8.67,23.4,11.02077,6.13
"136",182.198,562.81,5.21,18.1,2.541048,5.495
"137",2.702,268.13,10.84,1.9,91.14971,3.268
"138",169.068,215.09,26.65,12,17.73234,3.786
"139",185.709,366.32,34.21,16.6,9.337595,5.173
"140",60.801,389.59,62.76,39.9,32.0472,4.641
"141",68.443,293.65,43.5,7.2,81.26451,5.173
"142",153.071,301.43,44.64,30.8,32.42308,6.56
"143",19.231,356.79,26.55,4,77.24802,5.489
"144",117.274,398.67,14.08,21.1,23.87022,6.042
"145",5.506,289.36,48.93,7.6,5.710876,6.015
"146",9.277,386.95,23.09,3.8,85.57656,3.447
"147",4.786,111.1,13.66,5.8,91.14971,6.378
"148",32.237,356.91,9.5,21,2.348883,6.519
"149",92.355,190.44,5.36,19.4,0.01920434,6.462
"150",118.285,666.43,86.5,17.9,5.311003,4.094
"151",6.544,473.9,17.59,3.9,2.856601,4.668
"152",321.251,249.35,27.55,15.4,61.10259,4.947
"153",8.992,123.61,9.74,4.4,1.228063,5.793
"154",754.96,117.28,9.39,24.6,1.480493,6.502
"155",0.887,226.84,23.41,2.9,45.437,4.213
"156",19.088,449.28,37.59,15.8,81.57917,4.139
"157",189.215,331.98,45.27,18.9,45.437,6.269
"158",585.983,166.31,6.45,23.1,0.3404294,7.314
"159",222.887,130.34,7.72,22.2,0.02182594,7.508
"160",15.714,432.24,23.78,20.9,72.0897,3.462
"161",8.493,515.37,11.63,11.6,34.01277,5.373
"162",0.352,327,13.25,4,84.53875,3.786
"163",0.845,132.19,28.12,7,19.70135,5.885
"164",6.716,329.97,17.62,2.6,17.94347,4.668
"165",6.523,386.86,18.84,3.9,97.28955,4.179
"166",266.442,274.78,61.85,41.4,2.62944,3.615
"167",75.742,304.78,30.11,10.8,7.340323,6.192
"168",83.174,282.73,31.6,19.1,13.31939,4.731
"169",117.976,193.37,20.59,24.4,6.668437,4.862
"170",182.198,602.58,24.91,15.9,72.0897,5.474
"171",2.252,306.9,14.65,1.8,81.69172,4.641
"172",150.685,593.07,3.73,22,17.94347,5.27
"173",48.734,339.84,39.1,27.5,3.633199,6.458
"174",668.253,145.01,5.26,26.9,0.4246,6.798
"175",684.958,176.43,16.46,35.5,1.499683,7.028
"176",15.545,185.95,14.4,24.9,1.307074,6.31
"177",16.642,696.86,15.86,13.8,45.98487,6.154
