"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1","Afghanistan",39.277,2.375
"2","Albania",169.226,5.365
"3","Algeria",44.035,4.745
"4","Andorra",931.858,5.559
"5","Angola",8.215,3.795
"6","Antigua and Barbuda",30.635,7.137
"7","Argentina",657.805,5.901
"8","Armenia",419.474,5.488
"9","Australia",35.49,7.137
"10","Austria",111.698,7.213
"11","Azerbaijan",67.856,5.173
"12","Bahamas",335.666,5.082
"13","Bahrain",185.709,6.173
"14","Bangladesh",35.449,5.28
"15","Barbados",24.359,4.914
"16","Belarus",102.124,5.821
"17","Belgium",942.309,6.839
"18","Belize",128.263,5.956
"19","Benin",3.382,4.408
"20","Bhutan",321.251,5.082
"21","Bolivia",742.909,5.559
"22","Bosnia and Herzegovina",336.502,5.516
"23","Botswana",8.93,3.471
"24","Brazil",743.068,6.11
"25","Brunei",6.857,3.795
"26","Bulgaria",167.088,5.598
"27","Burkina Faso",3.205,4.741
"28","Burundi",0.084,3.775
"29","Cambodia",60.801,4.377
"30","Cameroon",16.048,5.241
"31","Canada",264.982,7.025
"32","Cape Verde",169.068,5.956
"33","Central African Republic",12.837,3.476
"34","Chad",5.844,4.251
"35","Chile",733.723,6.151
"36","China",3.293,5.771
"37","Colombia",600.693,5.709
"38","Comoros",8.05,4.609
"39","Congo",16.672,5.213
"40","Costa Rica",260.889,6.998
"41","Cote d'Ivoire",4.625,5.257
"42","Croatia",114.487,6.508
"43","Cuba",11.301,5.418
"44","Cyprus",28.542,6.26
"45","Democratic Republic of Congo",3.394,4.311
"46","Denmark",122.406,7.515
"47","Djibouti",61.741,4.369
"48","Dominica",3.394,5.771
"49","Dominican Republic",205.201,5.168
"50","Ecuador",713.482,5.354
"51","Egypt",60.801,4.472
"52","El Salvador",148.315,5.462
"53","Equatorial Guinea",59.16,4.472
"54","Eritrea",18.93,3.16
"55","Estonia",55.03,6.453
"56","Eswatini",65.47,4.396
"57","Ethiopia",12.569,4.549
"58","Fiji",2.231,4.641
"59","Finland",63.891,7.889
"60","France",544.493,6.714
"61","Gabon",24.262,4.914
"62","Gambia",49.241,5.164
"63","Georgia",63.422,5.123
"64","Germany",121.539,7.312
"65","Ghana",10.17,5.319
"66","Greece",56.893,5.788
"67","Grenada",266.617,4.785
"68","Guatemala",204.571,6.262
"69","Guinea",5.406,4.768
"70","Guinea-Bissau",20.833,5.489
"71","Guyana",151.292,5.993
"72","Haiti",20.346,3.615
"73","Honduras",266.442,5.93
"74","Hungary",163.348,6.038
"75","Iceland",32.234,7.575
"76","India",86.963,4.225
"77","Indonesia",49.4,5.347
"78","Iran",396.45,4.865
"79","Iraq",266.617,4.785
"80","Ireland",382.762,7.035
"81","Israel",286.868,7.195
"82","Italy",623.534,6.488
"83","Jamaica",66.19,6.309
"84","Japan",13.678,6.118
"85","Jordan",65.47,4.094
"86","Kazakhstan",118.285,6.168
"87","Kenya",17.37,4.547
"88","Kiribati",13.678,5.241
"89","Kuwait",177.026,6.106
"90","Kyrgyzstan",174.428,6.25
"91","Laos",16.672,5.284
"92","Latvia",33.4,6.229
"93","Lebanon",86.441,4.024
"94","Lesotho",20.072,3.512
"95","Liberia",16.213,5.121
"96","Libya",118.173,5.33
"97","Liechtenstein",26.221,7.575
"98","Lithuania",51.795,6.391
"99","Luxembourg",234.833,7.404
"100","Madagascar",8.812,4.339
"101","Malawi",9.566,3.869
"102","Malaysia",7.353,5.428
"103","Maldives",68.45,5.198
"104","Mali",6.716,4.988
"105","Malta",124.564,6.157
"106","Marshall Islands",148.315,6.56
"107","Mauritania",35.056,4.153
"108","Mauritius",7.863,6.015
"109","Mexico",696.596,5.964
"110","Moldova",423.901,5.812
"111","Monaco",25.482,4.574
"112","Mongolia",117.274,6.011
"113","Montenegro",437.855,5.722
"114","Morocco",93.334,4.803
"115","Mozambique",2.848,4.932
"116","Myanmar",21.081,4.431
"117","Namibia",52.343,4.451
"118","Nauru",237.838,6.897
"119","Nepal",30.065,5.449
"120","Netherlands",416.227,7.504
"121","New Zealand",5.184,7.257
"122","Nicaragua",23.549,6.113
"123","Niger",2.85,5.004
"124","Nigeria",5.506,5.503
"125","North Korea",2.252,5.885
"126","North Macedonia",205.201,5.054
"127","Norway",51.649,7.29
"128","Oman",235.576,6.853
"129","Pakistan",30.599,4.443
"130","Palau",182.198,6.038
"131","Panama",614.17,6.086
"132","Papua New Guinea",0.782,3.775
"133","Paraguay",186.049,5.653
"134","Peru",1038.977,5.999
"135","Philippines",64.363,5.08
"136","Poland",121.94,6.139
"137","Portugal",232.526,5.768
"138","Qatar",79.832,6.375
"139","Romania",341.725,6.13
"140","Russia",182.198,5.495
"141","Rwanda",2.702,3.268
"142","Saint Kitts and Nevis",25.482,7.575
"143","Saint Lucia",0.084,3.786
"144","Saint Vincent and the Grenadines",86.963,5.173
"145","Samoa",0.845,4.641
"146","San Marino",1237.551,5.999
"147","Sao Tome and Principe",68.443,5.173
"148","Saudi Arabia",153.071,6.56
"149","Senegal",19.231,5.489
"150","Serbia",117.274,6.042
"151","Seychelles",6.857,6.015
"152","Sierra Leone",9.277,3.447
"153","Singapore",4.786,6.378
"154","Slovakia",32.237,6.519
"155","Slovenia",92.355,6.462
"156","Solomon Islands",64.363,4.094
"157","Somalia",6.544,4.668
"158","South Africa",321.251,4.947
"159","South Korea",8.992,5.793
"160","South Sudan",5.003,2.817
"161","Spain",754.96,6.502
"162","Sri Lanka",0.887,4.213
"163","Sudan",19.088,4.139
"164","Suriname",189.215,6.269
"165","Sweden",585.983,7.314
"166","Switzerland",222.887,7.508
"167","Syria",15.714,3.462
"168","Tajikistan",8.493,5.373
"169","Tanzania",0.352,3.786
"170","Thailand",0.845,5.885
"171","Timor",6.523,4.668
"172","Togo",6.523,4.179
"173","Tonga",19.088,3.615
"174","Trinidad and Tobago",75.742,6.192
"175","Tunisia",83.174,4.731
"176","Turkey",117.976,4.862
"177","Turkmenistan",8.493,5.474
"178","Tuvalu",117.274,7.515
"179","Uganda",2.252,4.641
"180","Ukraine",150.685,5.27
"181","United Arab Emirates",48.734,6.458
"182","United Kingdom",668.253,6.798
"183","United States",684.958,7.028
"184","Uruguay",15.545,6.31
"185","Uzbekistan",16.642,6.154
"186","Vanuatu",2.85,4.741
"187","Venezuela",27.43,4.574
"188","Vietnam",0.36,5.467
"189","Yemen",20.117,4.197
"190","Zambia",18.93,4.838
"191","Zimbabwe",16.282,3.16
"192","Czech Republic",237.838,6.897
"193","Micronesia (country)",51.649,7.29
