"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"total_confirmed_deaths_due_to_covid_19_per_million_people",1,-0.07,-0.06,0.11,0.11,-0.27,-0.21,-0.04,-0.04,-0.04,-0.38,-0.38,-0.38,0.26,-0.06,-0.37,-0.42,-0.03,-0.21,-0.18,-0.18,-0.3,-0.38,-0.38,-0.01,0.31,0.39,0.43,0.31
"age_standardised_diabetes_prevalence_male",-0.07,1,0.9,0.77,0.77,0.04,0.35,-0.01,-0.01,-0.01,-0.32,-0.3,-0.28,-0.09,0.23,0.22,0.02,0.45,0.07,-0.01,0.35,-0.36,-0.23,-0.32,-0.48,0.15,0.5,0.37,0.59
"age_standardised_diabetes_prevalence_female",-0.06,0.9,1,0.83,0.83,0.04,0.38,-0.02,-0.02,-0.02,-0.26,-0.25,-0.23,-0.24,0.17,0.28,0.11,0.59,0.09,0.13,0.52,-0.23,-0.19,-0.26,-0.43,0,0.46,0.24,0.63
"crude_diabetes_prevalence_male",0.11,0.77,0.83,1,1,-0.08,0.23,-0.05,-0.05,-0.04,-0.58,-0.56,-0.55,0.21,0.02,0.11,-0.1,0.36,-0.12,-0.06,0.29,-0.54,-0.53,-0.59,-0.26,0.32,0.64,0.51,0.69
"crude_diabetes_prevalence_female",0.11,0.77,0.83,1,1,-0.08,0.23,-0.05,-0.05,-0.04,-0.58,-0.56,-0.55,0.21,0.02,0.11,-0.1,0.36,-0.12,-0.06,0.29,-0.54,-0.53,-0.59,-0.26,0.32,0.64,0.51,0.69
"ratio_of_diabetes_to_obesity_prevalence",-0.27,0.04,0.04,-0.08,-0.08,1,0.83,0.37,0.37,0.37,0.18,0.19,0.22,-0.22,0.24,0.1,0.26,0.21,0.35,0.11,0.21,0.16,0.31,0.09,-0.14,-0.28,-0.56,-0.52,-0.52
"ratio_of_diabetes_to_overweight_prevalence",-0.21,0.35,0.38,0.23,0.23,0.83,1,0.29,0.29,0.29,0.02,0.04,0.07,-0.26,0.31,0.11,0.18,0.42,0.3,0.1,0.41,0.07,0.16,-0.05,-0.27,-0.19,-0.24,-0.28,-0.15
"deaths_no_access_to_handwashing_facility_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.05,-0.05,0.37,0.29,1,1,1,0.19,0.19,0.26,-0.09,-0.12,0.03,0.02,0.02,0.25,0,0.02,0.04,0.28,0.02,-0.14,-0.08,-0.18,-0.15,-0.18
"deaths_unsafe_sanitation_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.05,-0.05,0.37,0.29,1,1,1,0.19,0.19,0.26,-0.08,-0.12,0.03,0.03,0.02,0.26,0,0.02,0.04,0.27,0.02,-0.14,-0.07,-0.18,-0.15,-0.18
"deaths_unsafe_water_source_sex_both_age_70_number",-0.04,-0.01,-0.02,-0.04,-0.04,0.37,0.29,1,1,1,0.18,0.18,0.25,-0.08,-0.11,0.03,0.03,0.02,0.25,0,0.02,0.04,0.27,0.01,-0.14,-0.07,-0.17,-0.15,-0.17
"deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate",-0.38,-0.32,-0.26,-0.58,-0.58,0.18,0.02,0.19,0.19,0.18,1,0.99,0.99,-0.58,-0.09,0.26,0.47,-0.06,0.42,0.4,0.14,0.83,0.88,0.89,0.12,-0.68,-0.67,-0.73,-0.56
"deaths_unsafe_sanitation_sex_both_age_70_rate",-0.38,-0.3,-0.25,-0.56,-0.56,0.19,0.04,0.19,0.19,0.18,0.99,1,0.99,-0.58,-0.09,0.27,0.48,-0.03,0.49,0.4,0.16,0.83,0.88,0.88,0.11,-0.68,-0.67,-0.72,-0.55
"deaths_unsafe_water_source_sex_both_age_70_rate",-0.38,-0.28,-0.23,-0.55,-0.55,0.22,0.07,0.26,0.26,0.25,0.99,0.99,1,-0.58,-0.09,0.27,0.48,-0.01,0.51,0.4,0.18,0.82,0.88,0.85,0.08,-0.68,-0.68,-0.73,-0.56
"male_lung_cancer_deaths_per_100_000_who_iarc_2016",0.26,-0.09,-0.24,0.21,0.21,-0.22,-0.26,-0.09,-0.08,-0.08,-0.58,-0.58,-0.58,1,-0.14,-0.17,-0.31,-0.43,-0.33,-0.37,-0.48,-0.54,-0.59,-0.59,0.31,0.71,0.4,0.57,0.19
"dementia_ihme_2017",-0.06,0.23,0.17,0.02,0.02,0.24,0.31,-0.12,-0.12,-0.11,-0.09,-0.09,-0.09,-0.14,1,-0.18,-0.13,0.27,0.04,-0.09,0.17,0.02,-0.03,-0.07,-0.14,0.03,0.02,0,0.05
"cardiovascular_diseases_ihme_2017",-0.37,0.22,0.28,0.11,0.11,0.1,0.11,0.03,0.03,0.03,0.26,0.27,0.27,-0.17,-0.18,1,0.86,0.19,0.38,0.49,0.28,0.34,0.33,0.3,-0.03,-0.22,-0.21,-0.29,-0.12
"stroke_ihme_2017",-0.42,0.02,0.11,-0.1,-0.1,0.26,0.18,0.02,0.03,0.03,0.47,0.48,0.48,-0.31,-0.13,0.86,1,0.17,0.54,0.5,0.3,0.53,0.48,0.46,0.11,-0.41,-0.44,-0.52,-0.34
"kidney_disease_ihme_2017",-0.03,0.45,0.59,0.36,0.36,0.21,0.42,0.02,0.02,0.02,-0.06,-0.03,-0.01,-0.43,0.27,0.19,0.17,1,0.33,0.14,0.81,0.1,-0.01,-0.01,-0.25,-0.3,0.11,-0.06,0.26
"respiratory_disease_ihme_2017",-0.21,0.07,0.09,-0.12,-0.12,0.35,0.3,0.25,0.26,0.25,0.42,0.49,0.51,-0.33,0.04,0.38,0.54,0.33,1,0.28,0.39,0.41,0.39,0.28,0,-0.39,-0.35,-0.4,-0.28
"liver_disease_ihme_2017",-0.18,-0.01,0.13,-0.06,-0.06,0.11,0.1,0,0,0,0.4,0.4,0.4,-0.37,-0.09,0.49,0.5,0.14,0.28,1,0.12,0.49,0.44,0.43,-0.02,-0.35,-0.33,-0.4,-0.23
