"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y"
"1",39.277,0.881538803639999,2.31091207179,3.65686631344,76.7379794648,194.58010251,304.391146257,26.6190388398,69.0462722088,99.7253657351,3.0866714937,41.5797199,70.361108,1629726.9202945,18291353.56093,25697347.796125,10761942,22974552
"2",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888
"3",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069
"4",931.858,1.01664736869,2.59902593593,3.47625515463,85.4529071686,223.175606203,295.952661577,31.46819303729,84.5457461915,120.3633250209,6.0579217162,39.54153259,58.16866918,1071786.24886389,9165246.63074571,10278352.0956885,78014,0
"5",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904
"6",30.635,0.86353749154,2.45106779665,3.51534122212,78.0874540533,211.327201454,294.237038223,31.30327382299,88.9983809651,131.975524272,7.0838938437,47.14878973,67.69157878,1005066.63331895,3884040.3416794,6713792.87679,87487,8232
"7",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040
"8",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280
"9",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0
"10",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0
