"","Entity","total_confirmed_deaths_due_to_covid_19_per_million_people.x","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","total_confirmed_deaths_due_to_covid_19_per_million_people.y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019"
"1","Afghanistan",39.277,0.881538803639999,2.31091207179,3.65686631344,76.7379794648,194.58010251,304.391146257,26.6190388398,69.0462722088,99.7253657351,3.0866714937,41.5797199,70.361108,1629726.9202945,18291353.56093,25697347.796125,10761942,22974552,39.277,11.565728,12.2499833,8.8120829,8.8120829,2.05,0.46,21.46226904,39.57352779,54.68133576,4.669467218,8.609867408,11.89681782,11.3,60.61,830.19,245.88,74.52,103.76,32.19,201.65,37.47,2.18,17.89,159.11,3.3,5.5,3.2,7.6
"2","Albania",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888,169.226,7.6878707,7.081062,8.0693345,8.0693345,0.47,0.18,0.1504723,0.703497643,1.804095769,0.059673811,0.278990789,0.715462385,29.44,28.82,374.06,136.5,11.15,21.85,8.57,19.79,5.47,0.08,0.98,122.34,4.21,21.7,21.6,21.8
"3","Algeria",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069,44.035,12.2647583,12.5937459,10.7245025,10.7245025,0.29,0.13,16.07761847,19.68895834,63.68725223,1.019307132,1.248262963,4.037716813,16.4,52.78,287.77,66.88,29.4,24.27,13.86,71.2,9.59,0.86,1.04,67.53,3.98,27.4,19.9,34.9
"4","Andorra",931.858,1.01664736869,2.59902593593,3.47625515463,85.4529071686,223.175606203,295.952661577,31.46819303729,84.5457461915,120.3633250209,6.0579217162,39.54153259,58.16866918,1071786.24886389,9165246.63074571,10278352.0956885,78014,0,931.858,8.0856197,5.8184757,8.2099398,8.2099398,0.31,0.13,0.026552733,0.016817825,0.024597875,0.339328944,0.214922313,0.314346969,40.4134,45.37,130.3,25.24,4.11,23.83,7.45,14.78,11.03,0.08,0.46,133.38,4.19,25.6,25.9,25.3
"5","Angola",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904,8.215,8.5194139,7.825495,5.4878877,5.4878877,0.63,0.18,952.7827003,1205.661598,1839.901489,270.1794406,341.8880044,521.738645,7,50.43,353.12,118.6,13.32,49.81,41.6,58.81,45.36,3.27,14.06,133.57,2.07,8.2,4,12.1
"6","Antigua and Barbuda",30.635,0.86353749154,2.45106779665,3.51534122212,78.0874540533,211.327201454,294.237038223,31.30327382299,88.9983809651,131.975524272,7.0838938437,47.14878973,67.69157878,1005066.63331895,3884040.3416794,6713792.87679,87487,8232,30.635,9.9233293,13.0083446,13.5797672,13.5797672,0.73,0.29,0.132457059,0.168376437,0.533396037,2.533395448,3.220395365,10.20182013,17.13465,30.35,225.66,61.17,27.82,11.31,13.74,100.36,11.03,0.19,1.38,130.33,2.81,18.9,11.6,25.9
"7","Argentina",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040,657.805,9.8786283,9.4600896,10.5125892,10.5125892,0.21,0.1,28.11222577,41.8137066,162.742742,0.859084543,1.277789575,4.973273025,31.87,28.54,224.34,44.52,22.12,40.59,16.37,53.78,15.63,0.31,1.12,154.12,5.43,28.3,27.3,29
"8","Armenia",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280,419.474,10.986533,11.9752651,13.4786177,13.4786177,0.32,0.12,0.329858187,1.116599713,0.775209212,0.148641327,0.503164297,0.349326257,45.62,27.85,353.31,62.36,10.56,32.55,26.6,60.53,15.63,0.19,0.34,147.98,3.64,20.2,17.1,23
"9","Australia",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0,35.49,6.7891865,4.9997449,6.4767592,6.4767592,0.17,0.08,7.74940969,4.750517175,22.35798455,0.298839333,0.183193487,0.862187633,30.4,34.03,128.73,31.99,10.17,26.43,6.49,28.35,9.43,0.37,0.2,136.09,4.37,29,29.6,28.4
"10","Austria",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0,111.698,5.4147456,3.2164117,5.0037759,5.0037759,0.32,0.12,2.487738508,5.641363856,2.160686078,0.210688759,0.47777206,0.182990402,35.92,41.07,178.03,21.47,12.79,19.26,13.49,33.58,8.4,0.04,0.28,133.71,3.97,20.1,21.9,18.3
