,Health expenditure,,,,,External health expenditure (% of current health expenditure),Health workers,,Specialist surgical workforce,Completeness of birth registration,Completeness of death registration
,Current,Public,Out of pocket,per capita,per capita,,Physicians,Nurses and midwives,,,
,% of GDP,% of current,% of current,$,current PPP $,,"per 1,000 people","per 1,000 people","per 100,000 population",%,%
,2018,2018,2018,2018,2018,2018,2013-18,2013-18,2013-18,2014-19,2008-16
Afghanistan,9.4,5.2,78.4,49.8,186.4,16.4,0.3,0.2,0,42.3,..
Albania,5.3,54,44.6,274.9,697.3,1.3,1.2,3.6,11.6,98.4,53
Algeria,6.2,65.8,32.6,255.9,962.7,0,1.7,1.5,12.1,..,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..
Andorra,6.7,67.9,13.6,"2,821.80","3,607.00",0,3.3,4,83.1,100,100
Angola,2.5,41.9,36.8,87.6,164.7,3.3,0.2,0.4,..,25,..
Antigua and Barbuda,5.2,55.5,29.5,875.2,"1,405.80",0.1,3,4.5,14,..,83
Argentina,9.6,61.4,27.7,"1,127.90","1,989.60",0.3,4,2.6,50.1,..,100
Armenia,10,12.3,84.3,422.3,"1,037.00",1.2,4.4,6.1,86.7,99.3,100
Aruba,..,..,..,..,..,..,..,..,..,..,..
Australia,9.3,69.1,17.7,"5,425.30","5,004.90",0,3.7,12.6,45.1,100,100
Austria,10.3,73.1,18.4,"5,326.40","5,879.10",0,5.2,7.1,109.9,100,100
Azerbaijan,3.5,26.5,72.8,165.8,633.6,0.7,3.4,6.4,67.6,..,..
"Bahamas, The",6.2,50.2,27.2,"2,013.40","2,005.20",0.5,2,4.6,..,..,89
Bahrain,4.1,58.8,30,994.2,"1,955.40",0,0.9,2.5,14.4,100,96
Bangladesh,2.3,17,73.9,41.9,109.6,6.5,0.6,0.4,2.9,56,..
Barbados,6.6,44.8,46.5,"1,164.50","1,203.80",1.2,2.5,3.1,17.2,..,79
Belarus,5.6,70.4,25,356.3,"1,132.50",0.3,5.2,11,124.2,..,100
Belgium,10.3,75.8,19.1,"4,912.70","5,404.90",0,3.1,19.5,89.8,100,100
Belize,5.7,68.6,23.2,286,506.3,2.5,1.1,2.3,10.5,95.7,89
Benin,2.5,19.7,44.5,30.9,83.2,30.1,0.1,0.4,1.9,85.6,..
Bermuda,..,..,..,..,..,..,..,..,..,..,..
Bhutan,3.1,79.5,13.2,102.7,322.1,6.1,0.4,1.9,2.9,..,..
Bolivia,6.3,71.2,23.2,223.6,496.1,1.9,1.6,1.6,..,91.9,..
Bosnia and Herzegovina,8.9,69.8,29.3,539.5,"1,300.80",0.4,2.2,5.7,32.3,..,95
Botswana,5.8,77.5,3.3,483,"1,088.70",6.4,0.5,5.4,3.6,87.5,..
Brazil,9.5,41.7,27.5,848.4,"1,530.80",0.1,2.2,10.1,55.5,96.4,99
Brunei Darussalam,2.4,95.1,4.9,763.2,"1,952.50",0,1.6,5.9,..,..,100
Bulgaria,7.3,57.6,40.5,689.9,"1,633.80",0,4,4.8,112.7,..,100
Burkina Faso,5.6,42.5,35.8,40.2,111.7,15.2,0.1,0.9,0.6,..,..
Burundi,7.7,24.6,25.6,24,65.8,30.9,0.1,0.9,0.4,83.5,..
Cabo Verde,5.4,60.2,28,194.9,399.5,8.9,0.8,1.3,..,..,93
Cambodia,6,21.3,57.5,90.6,261.2,20.5,0.2,0.7,4.2,73.3,..
Cameroon,3.5,6,75.6,54.1,133.6,8.5,..,..,1.2,61.9,..
Canada,10.8,73.5,14.7,"4,994.90","5,200.00",0,2.6,9.9,43.9,100,100
Cayman Islands,..,..,..,..,..,..,..,..,156.8,..,..
Central African Republic,11,6.3,41.7,53.7,97,51.4,0.1,0.2,0.4,..,..
Chad,4.1,17,61.9,29.2,79,15.6,0,0.2,0.3,12,..
Channel Islands,..,..,..,..,..,..,..,..,38.7,..,..
Chile,9.1,50.8,33.2,"1,455.60","2,305.70",0,2.6,13.3,..,..,95
China,5.4,56.4,35.8,501.1,935.2,0,2,2.7,..,..,62
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,27.8,..,..
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..
Colombia,7.6,71.6,15.1,513.2,"1,155.40",0,2.2,1.3,22.7,96.8,80
Comoros,4.6,9.3,74.5,65.2,134.2,14.5,0.3,0.6,..,..,..
"Congo, Dem. Rep.",3.3,15.1,41.6,18.5,30.7,35.2,0.1,1.1,0.2,24.6,..
"Congo, Rep.",2.1,36.8,52.3,47.5,125.4,7.9,..,0.6,0.2,95.9,..
Costa Rica,7.6,72.4,22.4,909.7,"1,336.50",0,2.9,3.4,25.5,..,87
Cote d'Ivoire,4.2,28.8,39.4,71.9,176.3,12.3,0.2,0.6,2.8,71.7,..
Croatia,6.8,83.2,10.5,"1,014.20","1,876.10",0,3,8.1,81.2,100,100
Cuba,11.2,88.9,11,986.9,"2,519.30",0.1,8.4,7.6,100.9,100,100
Curacao,..,..,..,..,..,..,..,..,..,..,..
Cyprus,6.8,42.8,44.6,"1,954.40","2,624.90",0.4,2,5.3,84.4,100,68
Czech Republic,7.6,82.7,14.2,"1,765.60","3,040.50",0,4.1,8.4,124.5,100,100
Denmark,10.1,83.9,13.8,"6,216.80","5,794.30",0,4,10.3,69,100,100
Djibouti,2.3,49.6,28.9,70.9,134.9,19.8,0.2,0.7,4.4,..,..
Dominica,6.6,64.8,32.4,490.8,710.2,1.9,1.1,6.4,11.3,..,100
Dominican Republic,5.7,44.3,44.7,461.5,"1,017.50",0.9,1.6,1.4,..,88,58
Ecuador,8.1,52,39.8,516.2,954.8,0.1,2,2.5,59.4,82,82
"Egypt, Arab Rep.",4.9,28.7,62.3,125.5,614.1,0.7,0.5,1.9,50.1,99.4,94
El Salvador,7.1,63.9,28.8,288.5,592.3,0.2,1.6,1.8,..,98.5,93
Equatorial Guinea,3,19.9,75.3,314.3,696.6,2.3,0.4,0.5,..,..,..
Eritrea,4.1,15.6,48.6,23.8,73.7,35.8,0.1,1.4,..,..,..
Estonia,6.7,73.6,24.7,"1,553.00","2,427.60",0,4.5,11.2,65,100,100
Eswatini,6.5,32.9,11.3,271.1,695.7,42.5,0.3,4.1,..,53.5,..
Ethiopia,3.3,23.4,35.5,24.2,66.6,35.9,0.1,0.7,0.5,2.7,..
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..
Fiji,3.4,68.3,14.2,214.6,372.5,2.2,0.9,3.4,5.4,..,100
Finland,9,78.6,18.4,"4,515.70","4,457.20",0,3.8,14.7,76.3,100,100
France,11.3,73.4,9.2,"4,690.10","5,250.40",0,3.3,11.5,58.6,100,100
French Polynesia,..,..,..,..,..,..,..,..,32.6,..,..
Gabon,2.7,58.6,23.1,218.4,490.8,1.2,0.7,2.9,..,..,..
"Gambia, The",3.1,30.6,29.3,22.2,80.8,35.1,0.1,1.5,1.8,57.9,..
Georgia,7.1,39.5,47.7,312.7,795.9,0.5,7.1,4.7,130.4,99.6,90
Germany,11.4,77.7,12.6,"5,472.20","6,098.20",0,4.2,13.2,108,100,100
Ghana,3.5,38.9,37.7,77.9,168,12.4,0.1,4.2,..,70.5,..
Greece,7.7,51.9,36.4,"1,566.90","2,340.20",0.1,5.5,3.6,163.5,100,100
Greenland,..,..,..,..,..,..,..,..,..,..,..
Grenada,4.5,38.2,54.5,474.5,693.8,3.2,1.4,6.3,12.6,..,100
Guam,..,..,..,..,..,..,..,..,..,..,..
Guatemala,5.7,36,57.5,259.6,483,1.7,0.4,0.1,3.4,96.4,100
Guinea,3.9,16.4,60.6,38.3,109.2,9.9,0.1,0.1,..,62,..
Guinea-Bissau,7,9.2,74.5,53.3,123.2,12.4,0.1,0.7,..,23.7,..
Guyana,5.9,61.9,32.3,295.6,512.9,3,0.8,1,8.8,88.7,90
Haiti,7.7,12,43.6,64.2,143.6,39.2,0.2,0.7,5.9,84.8,..
Honduras,7,40.3,51.2,176.2,362.3,3,0.3,0.7,13.7,..,14
Hungary,6.7,69.1,26.9,"1,081.80","2,115.20",0,3.4,6.9,55.7,100,100
Iceland,8.5,82.4,15.9,"6,530.90","5,113.20",0,4.1,16.2,101.6,100,100
India,3.5,27,62.7,72.8,275.1,0.7,0.9,1.7,6.8,79.7,10
Indonesia,2.9,49.3,34.9,111.7,375.2,0.4,0.4,2.4,..,71.9,..
"Iran, Islamic Rep.",8.7,45.9,35.8,484.3,"1,691.30",0,1.6,2.6,5,..,90
Iraq,4.1,48.1,51.4,239.4,716,0.5,0.7,2,7.6,98.8,65
Ireland,6.9,73.9,12.1,"5,489.10","5,896.70",0,3.3,16.1,72,100,100
Isle of Man,..,..,..,..,..,..,..,..,52.4,..,..
Israel,7.5,64.7,21.1,"3,323.70","3,207.50",1.7,4.6,5.7,75.6,100,100
Italy,8.7,73.9,23.5,"2,989.00","3,624.10",0,4,5.7,142.4,100,100
Jamaica,6.1,64.9,17.1,321,559.1,1.5,1.3,0.8,11.2,98,94
Japan,11,84.1,12.7,"4,266.60","4,503.70",0,2.4,12.2,37.4,100,100
Jordan,7.8,49.2,30.7,330.1,737.8,4.6,2.3,2.8,24.5,98,56
Kazakhstan,2.9,60.8,33.5,275.9,783.8,0.2,4,7.3,73.2,99.7,91
Kenya,5.2,42.1,23.6,88.4,179.2,15.5,0.2,1.2,2.4,66.9,..
Kiribati,12.1,76.4,0.1,196.8,277.8,23.5,0.2,3.8,8.2,..,..
"Korea, Dem. People's Rep.",..,..,..,..,..,..,3.7,4.4,..,..,..
"Korea, Rep.",7.6,58.5,32.5,"2,542.80","3,213.70",0,2.4,7.3,49.6,..,100
Kosovo,..,..,..,..,..,..,..,..,27.7,..,..
Kuwait,5,88,10.8,"1,711.20","3,669.00",0,2.6,7.4,..,..,59
Kyrgyz Republic,6.5,42.8,52.4,85.7,259.9,4.7,2.2,5.9,50.1,98.9,91
Lao PDR,2.2,38.7,48.5,57.1,167.1,12.5,0.4,1,3.7,73,..
Latvia,6.2,59.7,39.3,"1,101.50","1,895.80",0.2,3.2,4.8,67.6,100,100
Lebanon,8.4,50,33.2,686.5,"1,085.90",1,2.1,1.7,87.4,..,..
Lesotho,9.3,58.1,16,124.8,309,25.9,..,3.3,0.6,44.5,..
Liberia,6.7,25.2,41.8,45.4,"12,642.80",25.2,0,0.5,..,..,..
Libya,..,..,..,..,..,..,2.1,6.5,..,..,..
Liechtenstein,..,..,..,..,..,..,..,..,71.9,100,..
Lithuania,6.6,65.9,31.6,"1,249.30","2,313.00",0.3,6.4,9.8,130.9,100,100
Luxembourg,5.3,84.9,10.5,"6,227.10","6,047.80",1.4,3,12.2,80.8,100,100
Madagascar,4.8,35.7,28.1,22,79.1,30,0.2,0.1,0.8,78,..
Malawi,9.3,28.9,11.2,35.5,119.5,53.2,0,0.4,0.4,67.2,..
Malaysia,3.8,51.2,35.1,427.2,"1,193.90",0,1.5,3.5,11.4,..,52
Maldives,9.4,70.6,20.6,973.5,"1,442.60",0.9,4.6,6.4,4.8,98.8,91
Mali,3.9,28.2,33.9,35,90,36,0.1,0.4,1.1,86.7,..
Malta,9,63.5,34.3,"2,753.50","3,897.30",0,2.9,9.5,113.5,100,100
Marshall Islands,17.6,43.5,10.7,643.1,677.2,42,..,3.3,..,83.8,..
Mauritania,4.6,35.9,52,54.5,190.1,7.6,0.2,0.9,..,65.6,..
