,Survey year,Infant mortality rate,,Under-five mortality rate,,Total fertility rate,,Teenage mothers,
,,"per 1,000 live births","per 1,000 live births","per 1,000 live births","per 1,000 live births",births per woman,births per woman,% of women ages 15-19,% of women ages 15-19
,,Poorest quintile,Richest quintile,Poorest quintile,Richest quintile,Poorest quintile,Richest quintile,Poorest quintile,Richest quintile
,,MRV,MRV,MRV,MRV,MRV,MRV,MRV,MRV
Afghanistan,2015,62,35,81,40,5.3,4.6,15,9
Albania,2009,29,13,34,13,2,1.5,6,1
Algeria,2019,23,14,26,14,22,3,..,..
American Samoa,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..
Angola,2016,62,25,102,39,8.5,4,48,16
Antigua and Barbuda,..,..,..,..,..,..,..,..,..
Argentina,..,..,..,..,..,3.7,1.9,..,..
Armenia,2016,13,5,15,5,2,1.9,6,0
Aruba,..,..,..,..,..,..,..,..,..
Australia,..,..,..,..,..,..,..,..,..
Austria,..,..,..,..,..,..,..,..,..
Azerbaijan,..,..,..,..,..,..,..,..,..
"Bahamas, The",..,..,..,..,..,..,..,..,..
Bahrain,..,..,..,..,..,..,..,..,..
Bangladesh,2019,42,24,34,28,2.8,2.1,37,18
Barbados,..,..,..,..,..,..,0.9,..,..
Belarus,..,..,..,..,..,..,..,..,..
Belgium,..,..,..,..,..,..,..,..,..
Belize,2016,14,4,20,4,3.6,1.9,..,..
Benin,2018,63,39,108,60,7,4.2,31,9
Bermuda,..,..,..,..,..,..,..,..,..
Bhutan,2010,68,..,106,..,3.1,2,..,..
Bolivia,2008,89,26,116,31,6.2,1.9,31,8
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..
Botswana,..,..,..,..,..,..,..,..,..
Brazil,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,..,..,..,..,..,..,..,..
Bulgaria,..,..,..,..,..,..,..,..,..
Burkina Faso,2010,89,54,175,97,5.5,3.9,36,12
Burundi,2017,67,36,119,52,6,4.4,13,7
Cambodia,2014,62,16,76,19,3.8,2.2,18,7
Cameroon,2018,63,38,111,49,6.6,3,30,8
Canada,..,..,..,..,..,..,..,..,..
Cabo Verde,..,..,..,..,..,..,..,..,..
Cayman Islands,..,..,..,..,..,..,..,..,..
Central African Republic,2019,79,49,109,91,228,109,..,..
Chad,2019,62,66,102,93,160,84,47,25
Channel Islands,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..,..,..
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,..
"Macao SAR, China",..,..,..,..,..,..,..,..,..
Colombia,2015,22,5,27,7,2.8,1.3,27,5
Comoros,2012,37,34,52,40,6.7,3.4,17,4
"Congo, Dem. Rep.",2018,49,29,82,43,163,56,42,15
"Congo, Rep.",2016,52,32,77,34,7.1,2.9,51,17
Costa Rica,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,2016,83,39,120,61,6.7,2.7,51,13
Croatia,..,..,..,..,..,..,..,..,..
Cuba,..,..,..,..,..,..,..,..,..
Curacao,..,..,..,..,..,..,..,..,..
Cyprus,..,..,..,..,..,..,..,..,..
Czech Republic,..,..,..,..,..,..,..,..,..
Denmark,..,..,..,..,..,..,..,..,..
Djibouti,..,..,..,..,..,..,..,..,..
Dominica,..,..,..,..,..,..,..,..,..
Dominican Republic,2014,33,21,39,21,3.7,1.9,35,9
Ecuador,..,..,..,..,..,..,..,..,..
"Egypt, Arab Rep.",2014,36,18,42,19,3.6,2.8,9,4
El Salvador,2014,25,15,29,20,3.1,1.8,..,..
Equatorial Guinea,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..
Eswatini,2014,71,40,94,52,4.6,2.4,..,..
Ethiopia,2016,62,54,90,67,6.4,2.6,24,6
Faroe Islands,..,..,..,..,..,..,..,..,..
Fiji,..,..,..,..,..,..,..,..,..
Finland,..,..,..,..,..,..,..,..,..
France,..,..,..,..,..,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..
Gabon,2012,43,40,75,50,6.6,2.9,49,10
"Gambia, The",2018,49,27,79,35,6,2.7,25,6
Georgia,..,..,..,..,..,..,..,..,..
Germany,..,..,..,..,..,..,..,..,..
Ghana,2018,34,33,53,46,5.3,2.5,19,5
Greece,..,..,..,..,..,..,..,..,..
Greenland,..,..,..,..,..,..,..,..,..
Grenada,..,..,..,..,..,..,..,..,..
Guam,..,..,..,..,..,..,..,..,..
Guatemala,2015,41,17,56,20,4.9,1.9,28,11
Guinea,2018,77,34,133,44,5.9,3.4,35,14
Guinea-Bissau,2019,35,44,60,59,121,34,..,..
Guyana,2009,25,44,32,44,4.7,1.8,38,4
Haiti,2017,63,48,93,59,5.4,1.6,19,4
Honduras,2012,30,18,39,20,4.6,2,35,11
Hungary,..,..,..,..,..,..,..,..,..
Iceland,..,..,..,..,..,..,..,..,..
India,2016,58,21,75,25,3.2,1.5,11,3
Indonesia,2017,40,20,52,24,2.9,2.1,13,2
"Iran, Islamic Rep.",..,..,..,..,..,..,..,..,..
Iraq,2018,27,15,32,16,4.4,3,..,..
Ireland,..,..,..,..,..,..,..,..,..
Isle of Man,..,..,..,..,..,..,..,..,..
Israel,..,..,..,..,..,..,..,..,..
Italy,..,..,..,..,..,..,..,..,..
Jamaica,..,..,..,..,..,3.2,1.4,..,..
Japan,..,..,..,..,..,..,..,..,..
Jordan,2018,18,15,19,16,3.9,1.4,13,1
Kazakhstan,2011,34,24,40,27,3.5,2,..,..
Kenya,2014,40,38,57,47,6.1,2.4,22,9
Kiribati,2019,61,32,83,40,4.2,2.7,..,..
"Korea, Dem. People's Rep.",..,..,..,..,..,..,..,..,..
"Korea, Rep.",..,..,..,..,..,..,..,..,..
Kosovo,..,..,..,..,..,3.1,1.8,..,..
Kuwait,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,2018,13,7,13,8,4.5,2.7,7,2
