,Population,,Average annual population growth %,Population age composition,,,Dependency ratio,,Crude death rate,Crude birth rate
,,,,Ages 0-14,Ages 15-64,Ages 65+,young,old,,
,millions,,,%,%,%,% of working-age population,% of working-age population,"per 1,000 people","per 1,000 people"
,2000,2020,2000-2020,2020,2020,2020,2020,2020,2019,2019
Afghanistan,20.8,38.9,3.1,42,56,3,75,5,6,32
Albania,3.1,2.8,-0.4,17,68,15,25,22,8,12
Algeria,31,43.9,1.7,31,62,7,49,11,5,24
American Samoa,0.1,0.1,-0.2,..,..,..,..,..,..,..
Andorra,0.1,0.1,0.8,..,..,..,..,..,4,7
Angola,16.4,32.9,3.5,46,51,2,90,4,8,40
Antigua and Barbuda,0.1,0.1,1.3,22,69,9,32,14,6,15
Argentina,36.9,45.4,1,24,64,11,38,18,8,17
Armenia,3.1,3,-0.2,21,67,12,31,18,10,14
Aruba,0.1,0.1,0.8,17,68,15,26,21,9,12
Australia,19.2,25.7,1.5,19,64,16,30,25,7,12
Austria,8,8.9,0.5,14,66,19,22,29,9,10
Azerbaijan,8,10.1,1.1,24,70,7,34,10,6,14
"Bahamas, The",0.3,0.4,1.4,22,71,8,31,11,7,14
Bahrain,0.7,1.7,4.7,18,79,3,23,3,2,14
Bangladesh,127.7,164.7,1.3,27,68,5,39,8,6,18
Barbados,0.3,0.3,0.3,17,67,17,25,25,9,11
Belarus,10,9.4,-0.3,17,67,16,26,23,13,9
Belgium,10.3,11.6,0.6,17,64,19,27,30,10,10
Belize,0.2,0.4,2.4,29,66,5,44,8,5,21
Benin,6.9,12.1,2.8,42,55,3,77,6,9,36
Bermuda,0.1,0.1,0.2,..,..,..,..,..,8,8
Bhutan,0.6,0.8,1.3,25,69,6,36,9,6,17
Bolivia,8.4,11.7,1.6,30,62,7,48,12,7,21
Bosnia and Herzegovina,3.8,3.3,-0.7,15,68,18,21,27,11,8
Botswana,1.6,2.4,1.8,33,62,5,54,7,6,24
Brazil,174.8,212.6,1,21,70,10,30,14,7,14
