Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,38041757
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,43053054
"Population, total",SP.POP.TOTL,American Samoa,ASM,55312
"Population, total",SP.POP.TOTL,Andorra,AND,77146
"Population, total",SP.POP.TOTL,Angola,AGO,31825299
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,97115
"Population, total",SP.POP.TOTL,Argentina,ARG,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2957728
"Population, total",SP.POP.TOTL,Aruba,ABW,106310
"Population, total",SP.POP.TOTL,Australia,AUS,25365745
"Population, total",SP.POP.TOTL,Austria,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,389486
"Population, total",SP.POP.TOTL,Bahrain,BHR,1641164
"Population, total",SP.POP.TOTL,Bangladesh,BGD,163046173
"Population, total",SP.POP.TOTL,Barbados,BRB,287021
"Population, total",SP.POP.TOTL,Belarus,BLR,9417849
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,390351
"Population, total",SP.POP.TOTL,Benin,BEN,11801151
"Population, total",SP.POP.TOTL,Bermuda,BMU,63913
"Population, total",SP.POP.TOTL,Bhutan,BTN,763094
"Population, total",SP.POP.TOTL,Bolivia,BOL,11513102
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3300998
"Population, total",SP.POP.TOTL,Botswana,BWA,2303703
"Population, total",SP.POP.TOTL,Brazil,BRA,211049519
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30033
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,433296
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20321383
"Population, total",SP.POP.TOTL,Burundi,BDI,11530577
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,549936
"Population, total",SP.POP.TOTL,Cambodia,KHM,16486542
"Population, total",SP.POP.TOTL,Cameroon,CMR,25876387
"Population, total",SP.POP.TOTL,Canada,CAN,37593384
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,64948
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4745179
"Population, total",SP.POP.TOTL,Chad,TCD,15946882
"Population, total",SP.POP.TOTL,Channel Islands,CHI,172264
"Population, total",SP.POP.TOTL,Chile,CHL,18952035
"Population, total",SP.POP.TOTL,China,CHN,1397715000
"Population, total",SP.POP.TOTL,Colombia,COL,50339443
"Population, total",SP.POP.TOTL,Comoros,COM,850891
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,86790568
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5380504
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5047561
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,25716554
"Population, total",SP.POP.TOTL,Croatia,HRV,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11333484
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1198574
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,973557
"Population, total",SP.POP.TOTL,Dominica,DMA,71808
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10738957
"Population, total",SP.POP.TOTL,Ecuador,ECU,17373657
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,100388076
"Population, total",SP.POP.TOTL,El Salvador,SLV,6453550
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1355982
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,112078727
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48677
"Population, total",SP.POP.TOTL,Fiji,FJI,889955
"Population, total",SP.POP.TOTL,Finland,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67248926
"Population, total",SP.POP.TOTL,French Polynesia,PYF,279285
"Population, total",SP.POP.TOTL,Gabon,GAB,2172578
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2347696
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,30417858
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33706
"Population, total",SP.POP.TOTL,Greece,GRC,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,112002
"Population, total",SP.POP.TOTL,Guam,GUM,167295
"Population, total",SP.POP.TOTL,Guatemala,GTM,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12771246
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1920917
"Population, total",SP.POP.TOTL,Guyana,GUY,782775
"Population, total",SP.POP.TOTL,Haiti,HTI,11263079
"Population, total",SP.POP.TOTL,Honduras,HND,9746115
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507400
"Population, total",SP.POP.TOTL,Hungary,HUN,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,360563
"Population, total",SP.POP.TOTL,India,IND,1366417756
"Population, total",SP.POP.TOTL,Indonesia,IDN,270625567
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82913893
"Population, total",SP.POP.TOTL,Iraq,IRQ,39309789
"Population, total",SP.POP.TOTL,Ireland,IRL,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,84589
"Population, total",SP.POP.TOTL,Israel,ISR,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2948277
"Population, total",SP.POP.TOTL,Japan,JPN,126264931
"Population, total",SP.POP.TOTL,Jordan,JOR,10101697
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,52573967
"Population, total",SP.POP.TOTL,Kiribati,KIR,117608
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25666158
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51709098
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,4207077
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7169456
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,6855709
"Population, total",SP.POP.TOTL,Lesotho,LSO,2125267
"Population, total",SP.POP.TOTL,Liberia,LBR,4937374
"Population, total",SP.POP.TOTL,Libya,LBY,6777453
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38020
"Population, total",SP.POP.TOTL,Lithuania,LTU,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,640446
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2083458
"Population, total",SP.POP.TOTL,Madagascar,MDG,26969306
"Population, total",SP.POP.TOTL,Malawi,MWI,18628749
"Population, total",SP.POP.TOTL,Malaysia,MYS,31949789
"Population, total",SP.POP.TOTL,Maldives,MDV,530957
"Population, total",SP.POP.TOTL,Mali,MLI,19658023
"Population, total",SP.POP.TOTL,Malta,MLT,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,58791
"Population, total",SP.POP.TOTL,Mauritania,MRT,4525698
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265711
"Population, total",SP.POP.TOTL,Mexico,MEX,127575529
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,113811
"Population, total",SP.POP.TOTL,Moldova,MDA,2663251
"Population, total",SP.POP.TOTL,Monaco,MCO,38967
"Population, total",SP.POP.TOTL,Mongolia,MNG,3225166
"Population, total",SP.POP.TOTL,Montenegro,MNE,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,36471766
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30366043
"Population, total",SP.POP.TOTL,Myanmar,MMR,54045422
"Population, total",SP.POP.TOTL,Namibia,NAM,2494524
"Population, total",SP.POP.TOTL,Nauru,NRU,10764
"Population, total",SP.POP.TOTL,Nepal,NPL,28608715
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271300
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979300
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6545503
"Population, total",SP.POP.TOTL,Niger,NER,23310719
"Population, total",SP.POP.TOTL,Nigeria,NGA,200963603
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57213
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4974992
"Population, total",SP.POP.TOTL,Pakistan,PAK,216565317
"Population, total",SP.POP.TOTL,Palau,PLW,18001
"Population, total",SP.POP.TOTL,Panama,PAN,4246440
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8776119
"Population, total",SP.POP.TOTL,Paraguay,PRY,7044639
"Population, total",SP.POP.TOTL,Peru,PER,32510462
"Population, total",SP.POP.TOTL,Philippines,PHL,108116622
"Population, total",SP.POP.TOTL,Poland,POL,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2832071
"Population, total",SP.POP.TOTL,Romania,ROU,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,12626938
"Population, total",SP.POP.TOTL,Samoa,WSM,197093
"Population, total",SP.POP.TOTL,San Marino,SMR,33864
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,215048
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,34268529
"Population, total",SP.POP.TOTL,Senegal,SEN,16296362
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7813207
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40733
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,669821
"Population, total",SP.POP.TOTL,Somalia,SOM,15442906
"Population, total",SP.POP.TOTL,South Africa,ZAF,58558267
"Population, total",SP.POP.TOTL,South Sudan,SSD,11062114
"Population, total",SP.POP.TOTL,Spain,ESP,47133521
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,52834
"Population, total",SP.POP.TOTL,St. Lucia,LCA,182795
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,38002
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110593
"Population, total",SP.POP.TOTL,Sudan,SDN,42813237
"Population, total",SP.POP.TOTL,Suriname,SUR,581363
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1148133
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17070132
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9321023
"Population, total",SP.POP.TOTL,Tanzania,TZA,58005461
"Population, total",SP.POP.TOTL,Thailand,THA,69625581
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1293120
"Population, total",SP.POP.TOTL,Togo,TGO,8082359
"Population, total",SP.POP.TOTL,Tonga,TON,104497
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1394969
"Population, total",SP.POP.TOTL,Tunisia,TUN,11694721
"Population, total",SP.POP.TOTL,Turkey,TUR,83429607
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,5942094
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38194
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11655
"Population, total",SP.POP.TOTL,Uganda,UGA,44269587
"Population, total",SP.POP.TOTL,Ukraine,UKR,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9770526
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327
"Population, total",SP.POP.TOTL,United States,USA,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3461731
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,299882
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28515829
"Population, total",SP.POP.TOTL,Vietnam,VNM,96462108
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,29161922
"Population, total",SP.POP.TOTL,Zambia,ZMB,17861034
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14645473
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,660046272
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,446911598
"Population, total",SP.POP.TOTL,Arab World,ARB,427870273
