"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_agree_vaccines_are_safe","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","share_of_people_who_disagree_vaccines_are_effective","share_of_people_who_agree_vaccines_are_important_for_children_to_have","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","health_expenditure_per_capita_ppp_world_bank_2016","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_aged_65_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","public_expenditure_on_health_per_capita_in_developing_countries_ppp_world_bank_wdi_2017","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","public_expenditure_on_health_percent_gdp_owid_extrapolated_series","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","bcg_immunization_coverage_among_1_year_olds_who_2017","hepatitis_b_hep_b3_immunization_coverage_among_1_year_olds_who_2017","dtp3_immunization_coverage_among_1_year_olds_who_2017","polio_pol3_immunization_coverage_among_1_year_olds_who_2017","measles_mcv_immunization_coverage_among_1_year_olds_who_2017","number_of_confirmed_tetanus_cases_who_2017","number_confirmed_polio_cases_who_2017","number_of_confirmed_pertussis_cases_who_2017","number_of_confirmed_measles_cases_who_2017","number_of_confirmed_diphtheria_cases_who_2017","estimated_deaths_due_to_tuberculosis_per_100_000_population_excluding_hiv_who_2017","estimated_number_of_deaths_due_to_tuberculosis_excluding_hiv_who_2017"
"share_of_people_who_disagree_vaccines_are_important_for_children_to_have",1,-0.68,0.55,-0.63,0.38,-0.79,-0.22,0.35,0.38,0.38,0.34,0.09,0.27,0.1,0.25,-0.11,-0.22,-0.26,-0.09,-0.14,-0.14,-0.33,0.29,-0.07,0.02,0.23,0.34,-0.16,0.23,0.51,0.21,0.22,0.23,0.31,0.38,0.24,-0.12,-0.06,0.03,0.07,0.08,0.05,-0.11,-0.04,0.11,-0.05,-0.08,-0.17,-0.09
"share_of_people_who_agree_vaccines_are_safe",-0.68,1,-0.68,0.83,-0.25,0.84,0.29,-0.35,-0.29,-0.29,-0.39,0.06,-0.16,-0.23,-0.36,-0.19,0.36,0.23,0.09,-0.07,-0.09,0.26,-0.17,-0.01,-0.19,-0.44,-0.34,0.09,-0.29,-0.67,-0.27,-0.27,-0.23,-0.33,-0.32,-0.24,0.27,0.02,-0.06,-0.09,-0.13,-0.11,0.21,0.09,0.04,0.12,0.15,0.29,0.2
"share_of_people_who_disagree_vaccines_are_safe",0.55,-0.68,1,-0.43,0.53,-0.35,0.05,0.03,0.15,0.15,0.02,-0.05,0.24,-0.03,0.05,0.1,-0.15,-0.25,-0.06,-0.16,-0.18,-0.15,0.2,0.11,0.21,0.12,0.28,-0.06,0,0.22,-0.06,-0.06,-0.08,0.07,0.08,0.17,-0.19,-0.12,-0.14,-0.11,-0.09,-0.14,-0.16,-0.09,-0.06,-0.11,-0.11,-0.03,-0.18
"share_of_people_who_agree_vaccines_are_effective",-0.63,0.83,-0.43,1,-0.47,0.82,0.2,-0.26,-0.08,-0.08,-0.26,0.05,-0.02,-0.35,-0.38,-0.14,0.28,0.17,0.03,-0.18,-0.19,0.38,-0.02,0.27,-0.05,-0.43,-0.13,0.02,-0.26,-0.59,-0.18,-0.18,-0.15,-0.23,-0.17,-0.12,0.16,-0.04,-0.04,-0.03,-0.06,-0.07,0.1,0.06,0.08,0.07,0.13,0.14,0.12
"share_of_people_who_disagree_vaccines_are_effective",0.38,-0.25,0.53,-0.47,1,-0.13,0.29,-0.19,-0.13,-0.11,-0.23,-0.01,0.05,0,0,-0.07,0.08,-0.06,0.13,-0.02,-0.11,-0.24,0.03,-0.17,-0.05,0.04,-0.03,0.06,-0.16,-0.02,-0.27,-0.27,-0.24,-0.14,-0.15,-0.01,0.16,-0.14,-0.31,-0.34,-0.34,-0.33,0.05,-0.02,-0.07,-0.04,-0.09,0.33,-0.01
"share_of_people_who_agree_vaccines_are_important_for_children_to_have",-0.79,0.84,-0.35,0.82,-0.13,1,0.34,-0.44,-0.35,-0.34,-0.46,-0.06,-0.15,-0.31,-0.43,-0.05,0.29,0.12,0.02,-0.12,-0.15,0.33,-0.2,0.12,-0.07,-0.46,-0.33,0.08,-0.37,-0.73,-0.33,-0.33,-0.31,-0.36,-0.4,-0.22,0.13,-0.01,-0.12,-0.15,-0.18,-0.15,0.12,0.02,-0.06,0.06,0.09,0.27,0.1
"all_causes_disability_adjusted_life_years_who_2015",-0.22,0.29,0.05,0.2,0.29,0.34,1,-0.69,-0.6,-0.58,-0.87,0.09,-0.23,0.17,0.01,0.02,0.4,0.36,0.39,0.23,0.13,-0.03,-0.3,-0.21,0.04,-0.05,-0.36,0.37,-0.22,-0.39,-0.94,-0.93,-0.78,-0.68,-0.57,-0.37,0.38,-0.13,-0.46,-0.54,-0.57,-0.58,0.15,0.06,-0.11,0.07,0.05,0.68,0.13
"share_of_population_covered_by_health_insurance_ilo_2014",0.35,-0.35,0.03,-0.26,-0.19,-0.44,-0.69,1,0.59,0.58,0.76,-0.02,0.25,-0.09,0.08,-0.06,-0.39,-0.32,-0.35,-0.19,-0.11,0,0.33,0.16,-0.01,0.12,0.36,-0.36,0.23,0.45,0.68,0.69,0.64,0.69,0.52,0.39,-0.3,-0.03,0.29,0.37,0.41,0.41,-0.21,-0.09,0.1,-0.04,-0.15,-0.5,-0.17
"current_health_expenditure_per_capita_ppp_current_international",0.38,-0.29,0.15,-0.08,-0.13,-0.35,-0.6,0.59,1,0.97,0.78,-0.03,0.62,-0.43,-0.06,-0.2,-0.35,-0.32,-0.28,-0.46,-0.42,0.04,0.76,0.58,-0.01,0.07,0.68,-0.47,0.11,0.35,0.66,0.68,0.69,0.67,0.79,0.53,-0.11,-0.29,0.2,0.33,0.34,0.32,-0.16,-0.07,0.35,-0.13,-0.09,-0.41,-0.12
"health_expenditure_per_capita_ppp_world_bank_2016",0.38,-0.29,0.15,-0.08,-0.11,-0.34,-0.58,0.58,0.97,1,0.76,-0.01,0.64,-0.44,-0.06,-0.22,-0.33,-0.32,-0.27,-0.46,-0.41,-0.02,0.77,0.58,-0.03,0.07,0.64,-0.47,0.09,0.35,0.65,0.66,0.67,0.66,0.72,0.53,-0.1,-0.3,0.19,0.32,0.33,0.3,-0.15,-0.06,0.36,-0.12,-0.08,-0.4,-0.12
