"","Entity","BCG.immunization.coverage.among.1.year.olds..WHO.2017.","Hepatitis.B..HepB3..immunization.coverage.among.1.year.olds..WHO.2017.","DTP3.immunization.coverage.among.1.year.olds..WHO.2017.","Polio..Pol3..immunization.coverage.among.1.year.olds..WHO.2017.","Measles..MCV..immunization.coverage.among.1.year.olds..WHO.2017.","Number.of.confirmed.tetanus.cases..WHO.2017.","Number.confirmed.polio.cases..WHO.2017.","Number.of.confirmed.pertussis.cases..WHO.2017.","Number.of.confirmed.measles.cases..WHO.2017.","Number.of.confirmed.diphtheria.cases..WHO.2017.","Estimated.deaths.due.to.tuberculosis.per.100.000.population..excluding.HIV..WHO.2017.","Estimated.number.of.deaths.due.to.tuberculosis..excluding.HIV..WHO.2017.","Total.gross.official.disbursements.for.medical.research.and.basic.heath.sectors","Public.expenditure.on.health..GDP..OWID.extrapolated.series.","How.much.we.think.we.spend.on.health.expenditure..IPSOS..2016..","How.much.we.actually.spend.on.health.expenditure..IPSOS..2016..","Percentage.of.persons.without.health.insurance....","Out.of.pocket.expenditure.per.capita.on.healthcare..PPP.USD...WHO.Global.Health.Expenditure.","Old.Age","Health","Public.expenditure.on.health.per.capita.in.developing.countries..PPP...World.Bank..WDI...2017..","Healthy.Life.Expectancy..IHME.","Life.Expectancy..IHME.","Years.Lived.With.Disability..IHME.","Beds.in.for.profit.privately.owned.hospitals..number...OECD.","Beds.in.for.profit.privately.owned.hospitals..per.1.000.population...OECD.","Beds.in.not.for.profit.privately.owned.hospitals..number...OECD.","Beds.in.not.for.profit.privately.owned.hospitals..per.1.000.population...OECD.","Beds.in.publicly.owned.hospitals..number...OECD.","Beds.in.publicly.owned.hospitals..per.1.000.population...OECD.","Acute.care.beds..number...OECD.","Acute.care.beds..per.1.000.population...OECD.","Dentists..per.100.000.population...OECD.","Dentists..headcount...OECD.","For.profit.privately.owned.hospitals..number...OECD.","For.profit.privately.owned.hospitals..per.million.population...OECD.","General.hospitals..number...OECD.","General.hospitals..per.million.population...OECD.","Hospitals..number...OECD.","Hospitals..per.million.population...OECD.","Long.term.care.beds..number...OECD.","Long.term.care.beds..per.1.000.population...OECD.","Long.term.care.beds..per.1.000.population.aged.65....OECD.","Midwives..headcount...OECD.","Midwives..per.1.000.live.births...OECD.","Not.for.profit.privately.owned.hospitals..number...OECD.","Not.for.profit.privately.owned.hospitals..per.million.population...OECD.","Nurses..per.1.000.population...OECD.","Nurses..headcount...OECD.","Physicians..per.1.000.population...OECD.","Physicians..headcount...OECD.","Psychiatric.care.beds..number...OECD.","Psychiatric.care.beds..per.1.000.population...OECD.","Psychiatrists..per.1.000.population...OECD.","Psychiatrists..headcount...OECD.","Publicly.owned.hospitals..number...OECD.","Publicly.owned.hospitals..per.million.population...OECD.","Surgical.specialists..per.1.000.population...OECD.","Surgical.specialists..headcount...OECD.","Hospital.beds..number...OECD.","Hospital.beds..nurse.to.bed.ratio..OECD.","Hospital.beds..per.1.000.population...OECD.","HAQ.Index..IHME..2017..","Health.expenditure.per.capita..PPP..World.Bank..2016..","Current.health.expenditure.per.capita..PPP..current.international...","Health.Expenditure.and.Financing..per.capita...OECDstat..2017..","Public.Expenditure.on.Health..Tanzi...Schuktnecht..2000..","Share.of.population.covered.by.health.insurance..ILO..2014..","All.causes...Disability.Adjusted.Life.Years..WHO..2015..","Share.of.people.who.disagree.vaccines.are.important.for.children.to.have","Share.of.people.who.agree.vaccines.are.safe","Share.of.people.who.disagree.vaccines.are.safe","Share.of.people.who.agree.vaccines.are.effective","Share.of.people.who.disagree.vaccines.are.effective","Share.of.people.who.agree.vaccines.are.important.for.children.to.have","Standard.deviation.of.life.satisfaction"
"1","Afghanistan",86,78,78,77,68,74,NA,432,1154,0,37,12000,1.6701e+11,2.93283372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Africa",80,76,76,76,74,3529,NA,7565,52754,1654,45,450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania",99,98,98,98,98,NA,NA,NA,NA,NA,0.4,10,2.01e+09,2.93637328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Algeria",99,95,95,95,95,0,NA,0,63,0,8.2,3200,3e+08,5.24414553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Americas",95,89,91,91,94,568,NA,32116,611,49,1.9,19000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra",NA,94,97,97,96,NA,NA,16,NA,NA,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola",79,64,64,70,55,305,NA,0,118,NA,45,11000,4.999e+10,2.1249122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Antigua and Barbuda",NA,99,99,86,98,0,NA,0,0,0,1.3,1,2.6e+08,3.78461068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Argentina",99,94,94,93,89,10,NA,975,0,0,1.6,700,8.1e+08,2.6526738,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Armenia",99,94,94,96,97,0,NA,27,33,0,3,92,5.41e+09,1.92567567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
