,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
5981,ABW,North America,Aruba,2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159175.0,82535.0,76640.0,,159.0,89.0,148.49,77.0,71.5,,830.0,,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,
611,AFG,Asia,Afghanistan,2021-10-27,156124.0,53.0,37.857,7266.0,4.0,2.714,3919.225,1.33,0.95,182.4,0.1,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
3648,AGO,Africa,Angola,2021-10-27,64126.0,93.0,112.286,1703.0,1.0,3.0,1889.749,2.741,3.3089999999999997,50.18600000000001,0.028999999999999998,0.08800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
3902,AIA,North America,Anguilla,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18705.0,9548.0,9157.0,,,0.0,123.67,63.13,60.54,,0.0,,15125.0,,,,,,,,,,,,,81.88,,,,,
1845,ALB,Europe,Albania,2021-10-27,183282.0,672.0,545.571,2893.0,5.0,6.2860000000000005,63796.105,233.907,189.9,1006.9839999999999,1.74,2.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
3061,AND,Europe,Andorra,2021-10-27,15462.0,37.0,11.429,130.0,0.0,0.0,199886.237,478.32,147.744,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
119399,ARE,Asia,United Arab Emirates,2021-10-27,739566.0,95.0,91.714,2135.0,1.0,1.571,74022.606,9.508,9.18,213.69099999999997,0.1,0.157,,,,,,,,,,295380.0,92153940.0,9223.619,29.564,287189.0,28.745,0.0,3131.4,tests performed,20973866.0,9623489.0,8614655.0,,33635.0,28229.0,209.93,96.32,86.22,,2825.0,,9991083.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
5162,ARG,South America,Argentina,2021-10-27,5284485.0,1485.0,1214.4289999999999,115889.0,23.0,17.0,115873.03199999999,32.562,26.629,2541.101,0.504,0.373,,,,,,,,,,,,,,,,,,,58885357.0,33413008.0,25574596.0,,332195.0,309006.0,129.12,73.26,56.08,,6776.0,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
5768,ARM,Asia,Armenia,2021-10-27,300143.0,2074.0,1977.1429999999998,6151.0,39.0,40.143,101121.987,698.757,666.125,2072.35,13.14,13.525,,,,,,,,,,,2032310.0,684.711,,15292.0,5.152,0.129,7.7,tests performed,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,,,,
4496,ATG,North America,Antigua and Barbuda,2021-10-27,4036.0,5.0,13.857000000000001,102.0,3.0,0.7140000000000001,40879.994,50.644,140.357,1033.142,30.386999999999997,7.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
