"","Number","Entity","Total Confirmed Deaths due to Covid-19 per Million"
"1",1,"Afghanistan",39.277
"2",2,"Albania",169.226
"3",3,"Algeria",44.035
"4",4,"Andorra",931.858
"5",5,"Angola",8.215
"6",6,"Antigua and Barbuda",30.635
"7",7,"Argentina",657.805
"8",8,"Armenia",419.474
"9",9,"Australia",35.49
"10",10,"Austria",111.698
"11",11,"Azerbaijan",67.856
"12",12,"Bahamas",335.666
"13",13,"Bahrain",185.709
"14",14,"Bangladesh",35.449
"15",15,"Barbados",24.359
"16",16,"Belarus",102.124
"17",17,"Belgium",942.309
"18",18,"Belize",128.263
"19",19,"Benin",3.382
"20",20,"Bolivia",742.909
"21",21,"Bosnia and Herzegovina",336.502
"22",22,"Botswana",8.93
"23",23,"Brazil",743.068
"24",24,"Brunei",6.857
"25",25,"Bulgaria",167.088
"26",26,"Burkina Faso",3.205
"27",27,"Burundi",0.084
"28",28,"Cameroon",16.048
"29",29,"Canada",264.982
"30",30,"Cape Verde",169.068
"31",31,"Central African Republic",12.837
"32",32,"Chad",5.844
"33",33,"Chile",733.723
"34",34,"China",3.293
"35",35,"Colombia",600.693
"36",36,"Comoros",8.05
"37",37,"Congo",16.672
"38",38,"Costa Rica",260.889
"39",39,"Cote d'Ivoire",4.625
"40",40,"Croatia",114.487
"41",41,"Cuba",11.301
"42",42,"Cyprus",28.542
"43",43,"Democratic Republic of Congo",3.394
"44",44,"Denmark",122.406
"45",45,"Djibouti",61.741
"46",46,"Dominican Republic",205.201
"47",47,"Ecuador",713.482
"48",48,"Egypt",60.801
"49",49,"El Salvador",148.315
"50",50,"Equatorial Guinea",59.16
"51",51,"Estonia",55.03
"52",52,"Ethiopia",12.569
"53",53,"Fiji",2.231
"54",54,"Finland",63.891
"55",55,"France",544.493
"56",56,"Gabon",24.262
"57",57,"Gambia",49.241
"58",58,"Georgia",63.422
"59",59,"Germany",121.539
"60",60,"Ghana",10.17
"61",61,"Greece",56.893
"62",62,"Guatemala",204.571
"63",63,"Guinea",5.406
"64",64,"Guinea-Bissau",20.833
"65",65,"Guyana",151.292
"66",66,"Haiti",20.346
"67",67,"Honduras",266.442
"68",68,"Hungary",163.348
"69",69,"Iceland",32.234
"70",70,"India",86.963
"71",71,"Indonesia",49.4
"72",72,"Iran",396.45
"73",73,"Iraq",266.617
"74",74,"Ireland",382.762
"75",75,"Israel",286.868
"76",76,"Italy",623.534
"77",77,"Jamaica",66.19
"78",78,"Japan",13.678
"79",79,"Jordan",65.47
"80",80,"Kazakhstan",118.285
"81",81,"Kenya",17.37
"82",82,"Kuwait",177.026
"83",83,"Kyrgyzstan",174.428
"84",84,"Latvia",33.4
"85",85,"Lebanon",86.441
"86",86,"Lesotho",20.072
"87",87,"Liberia",16.213
"88",88,"Libya",118.173
"89",89,"Liechtenstein",26.221
"90",90,"Lithuania",51.795
"91",91,"Luxembourg",234.833
"92",92,"Madagascar",8.812
"93",93,"Malawi",9.566
"94",94,"Malaysia",7.353
"95",95,"Maldives",68.45
"96",96,"Mali",6.716
"97",97,"Malta",124.564
"98",98,"Mauritania",35.056
"99",99,"Mauritius",7.863
"100",100,"Mexico",696.596
"101",101,"Moldova",423.901
"102",102,"Monaco",25.482
"103",103,"Montenegro",437.855
"104",104,"Morocco",93.334
"105",105,"Mozambique",2.848
"106",106,"Myanmar",21.081
"107",107,"Namibia",52.343
"108",108,"Nepal",30.065
"109",109,"Netherlands",416.227
"110",110,"New Zealand",5.184
"111",111,"Nicaragua",23.549
"112",112,"Niger",2.85
"113",113,"Nigeria",5.506
"114",114,"Norway",51.649
"115",115,"Oman",235.576
"116",116,"Pakistan",30.599
"117",117,"Panama",614.17
"118",118,"Papua New Guinea",0.782
"119",119,"Paraguay",186.049
"120",120,"Peru",1038.977
"121",121,"Philippines",64.363
"122",122,"Poland",121.94
"123",123,"Portugal",232.526
"124",124,"Qatar",79.832
"125",125,"Romania",341.725
"126",126,"Russia",182.198
"127",127,"Rwanda",2.702
"128",128,"San Marino",1237.551
"129",129,"Sao Tome and Principe",68.443
"130",130,"Saudi Arabia",153.071
"131",131,"Senegal",19.231
"132",132,"Serbia",117.274
"133",133,"Sierra Leone",9.277
"134",134,"Singapore",4.786
"135",135,"Slovakia",32.237
"136",136,"Slovenia",92.355
"137",137,"Somalia",6.544
"138",138,"South Africa",321.251
"139",139,"South Korea",8.992
"140",140,"South Sudan",5.003
"141",141,"Spain",754.96
"142",142,"Sri Lanka",0.887
"143",143,"Sudan",19.088
"144",144,"Suriname",189.215
"145",145,"Sweden",585.983
"146",146,"Switzerland",222.887
"147",147,"Syria",15.714
"148",148,"Tajikistan",8.493
"149",149,"Tanzania",0.352
"150",150,"Thailand",0.845
"151",151,"Togo",6.523
"152",152,"Trinidad and Tobago",75.742
"153",153,"Tunisia",83.174
"154",154,"Turkey",117.976
"155",155,"Uganda",2.252
"156",156,"Ukraine",150.685
"157",157,"United Arab Emirates",48.734
"158",158,"United Kingdom",668.253
"159",159,"United States",684.958
"160",160,"Uruguay",15.545
"161",161,"Uzbekistan",16.642
"162",162,"Venezuela",27.43
"163",163,"Vietnam",0.36
"164",164,"Yemen",20.117
"165",165,"Zambia",18.93
"166",166,"Zimbabwe",16.282
"167",167,"Czech Republic",237.838
